protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	P23919	Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4	DTYMK	27642.1	7.20749	0	73	356	14	9	0	14	9	126	128528985.973212	125943245.095016	127571350.226215	130176647.691508	106457268.124174	86459922.8807826	54262283.1319225	20390634.2635547	5361477.20277787	4817588.65738508	1	0.979882040937165	0.992549262411538	1.01281937849132	0.828274395211999	0.672688127320964	0.422179345157455	0.15864619260129	0.0417141484637193	0.0374825073185371	0	0.0803336	0.138779	0.159679	0.186937	0.0941243	0.0957979	0.139213	0.0737084	0.0982314
3	A8MYQ9|Q9BZG1	Ras-related protein Rab-34, isoform NARR OS=Homo sapiens GN=RAB34 PE=1 SV=2|Ras-related protein Rab-34 OS=Homo sapiens GN=RAB34 PE=1 SV=1	RAB34	33992.3|33836.2	6.39721	0	63	242	7	5	1	6	4	126	86740969.6851154	77792351.0593467	87221381.5663268	83028211.4949507	72765507.5551769	58910656.1156863	25419746.1998422	13002615.8013532	3708549.83128371	2819667.56892471	1	0.896835155771791	1.00553846565188	0.957197179099535	0.838882800357526	0.679156070419112	0.293053516603749	0.149901665251783	0.0427543045085428	0.0325067563708429	0	0.214268	0.307161	0.424077	0.377751	0.371668	0.141651	0.265013	0.0912439	0.120818
4	I3L1H5|Q9BZG8	Diphthamide biosynthesis protein 1 (Fragment) OS=Homo sapiens GN=DPH1 PE=1 SV=1|Diphthamide biosynthesis protein 1 OS=Homo sapiens GN=DPH1 PE=1 SV=2	DPH1	51173.0|52552.8	6.34946	0.000445931	45	206	8	6	2	6	6	126	40388695.0720491	37032595.4640003	33327898.9946621	36619332.6054125	29144409.9700468	24164473.1004951	16624706.7443652	5755008.22378705	1867253.85674078	1128933.65976112	1	0.916904975462518	0.825178900561376	0.906672833576019	0.72159820756913	0.598297940980472	0.411617823123735	0.142490571025401	0.0462320917625538	0.0279517240591018	0	0.0895468	0.285414	0.241241	0.142974	0.0609897	0.0920724	0.130772	0.212372	0.127779
5	E7ETU7|H0Y9G6|P09001	39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial (Fragment) OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1	MRPL3	49678.4|48460.3|45997.2	6.95371	0.000480885	48	218	9	6	3	6	6	126	134493711.926883	133682087.032174	116343767.456944	99514574.4217499	58914317.7895672	30011090.7267439	12198693.0648246	8191281.81378039	5232413.72954735	3336994.9047621	1	0.993965332036115	0.865049865827138	0.739919904031281	0.438045146836276	0.223141218253084	0.0907008431104677	0.0609045709009322	0.0389045231526656	0.0248115310147455	0	0.108273	0.171386	0.139742	0.0854928	0.0440206	0.0381343	0.0449402	0.0611946	0.0698526
6	P53701	Cytochrome c-type heme lyase OS=Homo sapiens GN=HCCS PE=1 SV=1	HCCS	35105.9	6.99053	0	58	233	9	5	3	6	4	126	113905668.1124	105539949.463897	107733444.17938	110204432.063035	93450309.6629638	91556238.5000815	80658375.8074812	54269168.3933738	17796437.1217329	7350146.8561347	1	0.926555729955002	0.945812846407878	0.967506129319992	0.82041843230092	0.803790013414748	0.708115558638305	0.476439577526749	0.156238380553387	0.0645283678849216	0	0.0981109	0.152092	0.0978914	0.145612	0.180396	0.162393	0.0492241	0.0578046	0.0860536
8	Q14566	DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1	MCM6	103884.0	7.58459	0	97	1634	87	37	24	62	35	126	839252762.873151	771063295.209837	775642110.723747	762422671.188709	494543532.580216	152499490.886183	76962221.9957963	58356720.1182349	34196184.8016818	16890219.065486	1	0.918749784713404	0.924205608889943	0.908454168894938	0.58926649331146	0.181708655166182	0.0917032691466144	0.0695341412025298	0.0407459901408157	0.0201253064781853	0	0.577718	0.55085	0.472471	0.0634449	0.115982	0.0631176	0.0366098	0.0268703	0.0207312
9	Q92597	Protein NDRG1 OS=Homo sapiens GN=NDRG1 PE=1 SV=1	NDRG1	46243.0	6.3912	0.000319898	57	180	8	4	1	7	4	126	40462835.410028	40714095.1052334	39981869.627675	39058271.586981	32660579.3599303	25859399.1707501	10262594.4184833	6083752.53407254	3010370.16378113	1295828.71549516	1	1.00620964133282	0.988113393995276	0.965287558105756	0.80717475750194	0.639090140587164	0.253630135270746	0.150354083504608	0.0743983987596445	0.0320251584537748	0	0.237777	0.305999	0.27084	0.194993	0.168329	0.205881	0.198111	0.117915	0.0692948
10	P19075	Tetraspanin-8 OS=Homo sapiens GN=TSPAN8 PE=1 SV=1	TSPAN8	29689.9	7.10741	0.00252085	37	37	3	1	1	2	1	126	22618210.8977032	17200307.0211175	19564408.9729415	19465657.7801932	17524435.4266426	18782221.9212373	20288032.6582266	21940430.6626628	16910869.6968977	12939728.3253188	1	0.760462757152206	0.86498481517511	0.860618811462663	0.774793174663614	0.830402634681622	0.896977782636501	0.970033870578631	0.747666107340739	0.572093362460988	0	0	0	0	0	0	0	0	0	0
11	Q8WUF5	RelA-associated inhibitor OS=Homo sapiens GN=PPP1R13L PE=1 SV=4	PPP1R13L	94648.6	6.45142	0	59	455	18	12	7	10	10	126	139181331.019211	142292579.52699	125262114.34476	118236673.995571	84291642.3335862	39258138.922683	15886409.6061228	2334588.45695367	2702988.02302122	763661.585662924	1	1.02235392121196	0.899992214670446	0.849515327448986	0.605624631668106	0.28206468953271	0.114141814062189	0.0167737184280228	0.0194206220275917	0.00548681048004576	0	0.347521	0.138948	0.233277	0.113084	0.274024	0.169629	0.0200708	0.0283764	0.0140981
12	E9PIF4|Q99519	Sialidase-1 OS=Homo sapiens GN=NEU1 PE=1 SV=1|Sialidase-1 OS=Homo sapiens GN=NEU1 PE=1 SV=1	NEU1	31157.0|48472.6	6.17486	0.000254259	50	187	8	5	3	5	5	126	21572481.0419985	19179964.4468028	20510568.5404465	21086067.5788617	15558438.8785768	12701353.9431137	12516399.5705767	8461893.79635089	5127230.1691325	3711093.60277233	1	0.889094045764239	0.95077466984513	0.977452131621306	0.721216945250145	0.588775761044173	0.580202135591593	0.392254084260257	0.237674570632396	0.172029058481839	0	0.240689	0.272934	0.204509	0.13459	0.10319	0.260396	0.14831	0.139236	0.128663
13	B7ZL14|H0Y7W6|Q96RU3	FNBP1 protein OS=Homo sapiens GN=FNBP1 PE=1 SV=1|Formin-binding protein 1 (Fragment) OS=Homo sapiens GN=FNBP1 PE=1 SV=2|Formin-binding protein 1 OS=Homo sapiens GN=FNBP1 PE=1 SV=2	FNBP1	76805.4|78595.5|85468.3	6.61417	0.000280348	53	258	10	6	3	7	6	126	117075547.903534	121891856.193631	109682937.267768	95621380.0114023	47711612.4454087	22530375.3752493	14640046.1390734	9107950.63256141	4431421.04376318	2497942.16221217	1	1.041138464661	0.936856066290998	0.816749370160462	0.407528414769593	0.192443048772349	0.12504785500672	0.0777954986814671	0.0378509528515255	0.0213361560713804	0	0.312073	0.132882	0.128511	0.113053	0.0960569	0.074066	0.0730545	0.0615747	0.0375404
15	Q9ULV4	Coronin-1C OS=Homo sapiens GN=CORO1C PE=1 SV=1	CORO1C	62149.2	7.3084	0	84	657	33	16	10	23	15	126	352471813.166802	347961157.910768	321581378.486345	341799434.806054	252526229.811012	219565126.801953	61349137.8607966	24474388.1311543	14338319.4574723	6674181.59435108	1	0.987202791577835	0.91236055330802	0.96972132816845	0.716443756288413	0.622929603446181	0.174054025227158	0.0694364406369484	0.0406793363947285	0.0189353626163367	0	0.210975	0.0773314	0.107884	0.0859531	0.172505	0.109386	0.0465119	0.0450453	0.0290164
16	H3BM14|H3BM74|Q9Y5A7	NEDD8 ultimate buster 1 OS=Homo sapiens GN=NUB1 PE=1 SV=1|NEDD8 ultimate buster 1 OS=Homo sapiens GN=NUB1 PE=1 SV=1|NEDD8 ultimate buster 1 OS=Homo sapiens GN=NUB1 PE=1 SV=2	NUB1	84190.3|85838.2|82693.5	5.92718	0.000298418	55	139	4	4	1	3	3	126	56602386.1650911	54578931.1939384	52047069.1176993	47515133.4579843	28234629.939325	12074117.5089414	8648421.11872962	5461877.04934687	1252979.82029608	444708.042739118	1	0.964251419273192	0.919520759529369	0.839454600366102	0.498824022311949	0.213314637897509	0.152792518207712	0.0964955264150227	0.0221365194153041	0.00785670133131926	0	0	0	0	0	0	0	0	0	0
