protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	P23919	Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4	DTYMK	27642.1	7.57374	0.0	91	560	23	11	8	14	11	126	2.6571e+08	2.6244e+08	2.83288e+08	2.70894e+08	2.94105e+08	2.80952e+08	2.26176e+08	3.74927e+06	2.26178e+06	126564.0	1.0	0.986808	1.06724	1.02004	1.10769	1.06024	0.851419	0.013881	0.00828826	0.000458494	0.0	0.0746083	0.0592885	0.0877871	0.111532	0.114826	0.0620005	0.0195459	0.00968718	0.00167344
2	Q9C0H2	Protein tweety homolog 3 OS=Homo sapiens GN=TTYH3 PE=1 SV=3	TTYH3	60310.6	6.64447	0.0	93	155	6	2	3	3	2	126	4.33593e+07	4.38588e+07	4.12995e+07	4.49441e+07	4.17746e+07	5.10479e+07	4.16153e+07	1.35161e+06	353722.0	0.0	1.0	1.01152	0.952494	1.03655	0.963452	1.17732	0.959778	0.0311722	0.00815792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	P40429	60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2	RPL13A	30036.0	8.74176	0.0	77	726	81	18	22	54	16	126	8.38415e+08	8.54296e+08	8.40703e+08	8.82579e+08	9.15272e+08	9.62681e+08	8.70071e+08	1.38911e+07	8.14302e+06	116057.0	1.0	1.01452	1.00307	1.05107	1.09175	1.14808	1.03776	0.0163322	0.009549	0.000134409	0.0	0.122995	0.0521027	0.0754111	0.0665538	0.0717218	0.0537179	0.0144292	0.0115187	0.000462182
4	###REV###J3QL71|###REV###J3QR84|###REV###J3QRJ1|###REV###Q96FV2	Reverse sequence, was Secernin-2 OS=Homo sapiens GN=SCRN2 PE=1 SV=1|Reverse sequence, was Secernin-2 (Fragment) OS=Homo sapiens GN=SCRN2 PE=1 SV=1|Reverse sequence, was Secernin-2 OS=Homo sapiens GN=SCRN2 PE=1 SV=1|Reverse sequence, was Secernin-2 OS=Homo sapiens GN=SCRN2 PE=1 SV=3	###SCRN2###	49982.2|20398.1|31061.6|49085.8	5.67354	0.00917043	28	51	5	1	4	1	1	126	689969.0	703243.0	877541.0	958729.0	1.11943e+06	1.22722e+06	771707.0	0.0	0.0	0.0	1.0	1.01924	1.27186	1.38953	1.62243	1.77866	1.11847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	###REV###C9JQZ6|###REV###J3KQX6|###REV###Q8NEG2	Reverse sequence, was Uncharacterized protein C7orf57 OS=Homo sapiens GN=C7orf57 PE=4 SV=1|Reverse sequence, was Uncharacterized protein C7orf57 OS=Homo sapiens GN=C7orf57 PE=4 SV=1|Reverse sequence, was Uncharacterized protein C7orf57 OS=Homo sapiens GN=C7orf57 PE=2 SV=3	###C7ORF57###	41323.6|43467.9|38154.1	7.38017	0.0203413	21	41	2	2	1	1	1	126	8.24279e+06	7.01021e+06	9.144e+06	7.30041e+06	9.09876e+06	9.92898e+06	9.76643e+06	0.0	0.0	0.0	1.0	0.850466	1.10933	0.885673	1.10385	1.20457	1.18485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	H3BQX2|H3BSA5|H3BTU5|Q9P2J9	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 2, mitochondrial (Fragment) OS=Homo sapiens GN=PDP2 PE=1 SV=1|[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 2, mitochondrial (Fragment) OS=Homo sapiens GN=PDP2 PE=1 SV=2|[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 2, mitochondrial (Fragment) OS=Homo sapiens GN=PDP2 PE=1 SV=7|[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 2, mitochondrial OS=Homo sapiens GN=PDP2 PE=2 SV=2	PDP2	29401.9|18464.4|18092.2|63604.4	5.63128	0.00062422	42	42	1	1	1	0	0	126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	A8MYQ9|P0DI83|Q9BZG1	Ras-related protein Rab-34, isoform NARR OS=Homo sapiens GN=RAB34 PE=1 SV=2|Ras-related protein Rab-34, isoform NARR OS=Homo sapiens GN=RAB34 PE=1 SV=1|Ras-related protein Rab-34 OS=Homo sapiens GN=RAB34 PE=1 SV=1	RAB34	33992.3|21105.6|33836.2	7.344	0.0	92	712	23	12	2	18	11	126	2.37461e+08	2.23205e+08	2.51223e+08	2.43425e+08	2.71835e+08	2.72414e+08	2.33735e+08	4.72574e+06	2.85726e+06	0.0	1.0	0.939128	1.05815	1.02485	1.14663	1.14707	0.985283	0.0200092	0.011926	0.0	0.0	0.101965	0.0607663	0.10544	0.16721	0.248831	0.174471	0.0211865	0.0148933	0.0
8	I3L1H5|Q9BZG8	Diphthamide biosynthesis protein 1 (Fragment) OS=Homo sapiens GN=DPH1 PE=1 SV=1|Diphthamide biosynthesis protein 1 OS=Homo sapiens GN=DPH1 PE=1 SV=2	DPH1	51173.0|52552.8	6.68945	0.0	57	177	4	4	2	2	2	126	1.8603e+07	1.74481e+07	1.82852e+07	1.77831e+07	2.04284e+07	2.15072e+07	1.87151e+07	570906.0	383563.0	0.0	1.0	0.937919	0.982917	0.955926	1.09813	1.15611	1.00603	0.0306889	0.0206183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	E7ETU7|H0Y9G6|P09001	39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial (Fragment) OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1	MRPL3	49678.4|48460.3|45997.2	8.04231	0.0	63	356	12	8	2	10	8	126	2.38707e+08	2.33879e+08	2.41813e+08	2.40995e+08	2.58537e+08	2.85762e+08	2.34791e+08	1.45164e+06	622525.0	0.0	1.0	0.979505	1.01309	1.00937	1.08345	1.19757	0.985292	0.00604813	0.00251526	0.0	0.0	0.0460462	0.077687	0.0651584	0.0433556	0.121346	0.132523	0.0102916	0.00781663	0.0
10	P53701	Cytochrome c-type heme lyase OS=Homo sapiens GN=HCCS PE=1 SV=1	HCCS	35105.9	7.85851	0.0	117	615	23	12	2	21	12	126	2.24482e+08	2.20567e+08	2.45732e+08	2.38225e+08	2.31082e+08	2.51574e+08	2.05489e+08	4.18283e+06	2.68968e+06	94460.2	1.0	0.983417	1.09431	1.0603	1.0286	1.12231	0.915631	0.0183597	0.0118875	0.000404155	0.0	0.111925	0.0856454	0.121014	0.182607	0.0799755	0.0933636	0.0278284	0.0188015	0.00154524
11	A0A0C4DFX7|Q9H967	WD repeat-containing protein 76 OS=Homo sapiens GN=WDR76 PE=1 SV=1|WD repeat-containing protein 76 OS=Homo sapiens GN=WDR76 PE=1 SV=2	WDR76	71963.9|80320.4	6.8682	0.0	68	281	8	6	1	7	6	126	1.34447e+08	1.27292e+08	1.36019e+08	1.31782e+08	7.10983e+07	7.30063e+07	8.42389e+07	2.03399e+06	1.22127e+06	0.0	1.0	0.946507	1.01183	0.98019	0.527414	0.543013	0.628403	0.0150899	0.0090442	0.0	0.0	0.0269793	0.0437754	0.0378441	0.130618	0.13407	0.112478	0.00992769	0.0146858	0.0
12	Q14562	ATP-dependent RNA helicase DHX8 OS=Homo sapiens GN=DHX8 PE=1 SV=1	DHX8	160707.0	7.0436	0.0	109	1062	35	17	12	22	16	126	2.18083e+08	2.03371e+08	2.25428e+08	2.28318e+08	2.43622e+08	2.36651e+08	2.08372e+08	5.57145e+06	2.41411e+06	0.0	1.0	0.93562	1.03894	1.05194	1.11714	1.09137	0.96117	0.0252235	0.0105355	0.0	0.0	0.158102	0.15013	0.147093	0.0630851	0.190876	0.180103	0.0297631	0.0204314	0.0
