protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
2	P23919	Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4	DTYMK	27642.1	7.48001	0	74	581	21	13	4	17	12	126	147636574.878892	129434110.341001	123226362.428224	126988544.93779	95674557.2788544	87732046.3812243	83219118.1782639	37498520.3345945	7295461.3325711	4169194.93080378	1	0.876707621042933	0.834660127609353	0.860142854451613	0.648041024775447	0.594243306261959	0.563675486555614	0.25399207727052	0.0494149998979293	0.028239580430688	0	0.132497	0.0828551	0.0981695	0.0526043	0.0551321	0.0863678	0.0972947	0.0645435	0.0398364
3	Q9C0H2	Protein tweety homolog 3 OS=Homo sapiens GN=TTYH3 PE=1 SV=3	TTYH3	60310.6	6.49232	0	65	201	6	4	1	5	3	126	11765015.5246272	12826854.853819	11921710.518781	11226776.3895083	9083971.67935622	9319884.01970996	8750237.34285643	8203312.73283317	5871972.73734154	3293654.51315312	1	1.09025396753358	1.01331872395968	0.954250877613191	0.772117270932718	0.792169292101744	0.743750598929507	0.697263230606158	0.499104546445348	0.279953265361924	0	0.115008	0.0719033	0.0738232	0.0935172	0.111987	0.249653	0.33649	0.221394	0.494956
5	P40429	60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2	RPL13A	30036.0	8.2114	0	74	616	62	13	14	46	11	126	586650025.218112	373150175.411642	338852530.930269	511900286.440969	372404737.638592	298281244.727099	226320509.433105	176263568.190824	33627287.7812838	8322307.19963706	1	0.636069478174672	0.577605925789037	0.872582058188183	0.634798809563051	0.508448362575627	0.385784538829536	0.300457786778907	0.0573208665060254	0.0141861533143937	0	0.0380082	0.0478167	0.0392464	0.0198362	0.0222577	0.020092	0.0300709	0.0285721	0.0103825
7	Q9BZG1	Ras-related protein Rab-34 OS=Homo sapiens GN=RAB34 PE=1 SV=1	RAB34	33836.2	7.09056	0	94	552	19	10	1	18	9	126	136689429.629401	135414682.097609	129216204.500051	126816894.464508	100813436.176443	86913202.396797	44138603.5810085	14559291.2212238	7882391.7232653	3428424.89211431	1	0.990674132335995	0.945326971151966	0.927773967660412	0.737536446305855	0.635844356307875	0.322911608459258	0.106513658449653	0.0576664321786726	0.0250818582052	0	0.0560574	0.0529279	0.0434697	0.0386288	0.0361694	0.0480869	0.0669457	0.0743786	0.0335358
8	I3L1H5|Q9BZG8	Diphthamide biosynthesis protein 1 (Fragment) OS=Homo sapiens GN=DPH1 PE=1 SV=1|Diphthamide biosynthesis protein 1 OS=Homo sapiens GN=DPH1 PE=1 SV=2	DPH1	51173.0|52552.8	6.30166	0.000233809	61	351	13	8	4	9	8	126	40677636.403365	38317468.6929628	36327128.1842971	35256739.8769737	26457684.7200813	23301656.8368096	15770924.5683496	6585474.58350989	1876879.94781439	442870.395400204	1	0.941978740185431	0.893049139435546	0.866735213603934	0.650423354437886	0.572837040130533	0.387705038020473	0.161894229010934	0.0461403393550941	0.0108873187962211	0	0.0853226	0.0996309	0.0927064	0.0392281	0.0555703	0.0798973	0.0874287	0.127683	0.0215877
9	E7ETU7|H0Y9G6|P09001	39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial (Fragment) OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1	MRPL3	49678.4|48460.3|45997.2	7.37414	0	65	341	16	9	6	10	8	126	163571610.145095	152224504.369401	138213598.838887	121553742.436981	70129366.0704941	36870654.2553964	18086380.7978526	9865683.60720402	5399289.39631501	2232670.38670713	1	0.930629124665163	0.8449730287321	0.743122491300033	0.428738006603263	0.225409863133893	0.110571637595358	0.060314155973966	0.0330087194931053	0.0136494981294533	0	0.126598	0.0748564	0.121085	0.0569762	0.0344396	0.0738721	0.0762261	0.0518721	0.0187118
10	P53701	Cytochrome c-type heme lyase OS=Homo sapiens GN=HCCS PE=1 SV=1	HCCS	35105.9	7.40456	0	88	527	17	10	3	14	10	126	137721310.462523	112203876.604197	108466013.026266	109603414.195509	78453953.1943462	78777204.0810309	98054831.4342955	61790559.2884339	20612609.8380096	5372470.90722565	1	0.814716881703867	0.78757610323336	0.795834819080771	0.569657324134271	0.572004461883681	0.711980093022555	0.448663747686661	0.149668992901565	0.0390097283360341	0	0.0501529	0.0546808	0.04742	0.0313507	0.0342918	0.0381449	0.0621271	0.0291894	0.0855123
12	Q14562	ATP-dependent RNA helicase DHX8 OS=Homo sapiens GN=DHX8 PE=1 SV=1	DHX8	160707.0	6.79205	0	81	923	39	17	12	27	17	126	137691734.937146	130587141.320714	125397967.837273	125184335.197664	77669606.6308094	36351608.9588201	18685481.8602405	10155596.3782904	5851175.96923753	2995673.24584669	1	0.948402178099687	0.910715286538548	0.909163758121052	0.564083288414256	0.264007196767577	0.135705181351445	0.0737560346881118	0.0424947508425868	0.0217563766424627	0	0.721488	0.0520926	0.0501707	0.269743	0.176329	0.147011	0.100963	0.0543884	0.0321243
14	Q14566	DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1	MCM6	103884.0	7.81717	0	103	2114	101	45	15	84	43	126	933157843.069713	929661136.342234	898801606.409854	859117163.899623	543026534.418944	167100596.534838	73640963.3228461	49228172.9167633	29421594.0536551	14721474.1082059	1	0.996252823942436	0.963182823875925	0.920655782170221	0.581923560362098	0.179070023121859	0.0789158703104257	0.0527543901413532	0.0315290647473635	0.015775974255093	0	0.0357057	0.0294805	0.028464	0.020864	0.0334445	0.0310461	0.0257801	0.0156265	0.00921291
15	Q92597	Protein NDRG1 OS=Homo sapiens GN=NDRG1 PE=1 SV=1	NDRG1	46243.0	7.07335	0	81	367	16	6	5	11	6	126	75351743.253404	74705000.00053	74125764.7483449	72020713.2598623	59457526.8253385	46291926.6289596	23567657.887808	12369253.2402399	4759384.04939733	1586562.73785877	1	0.991417010078997	0.983729925120164	0.95579359083519	0.789066374023835	0.614344468093887	0.312768581989552	0.164153511334738	0.06316222882053	0.021055421803889	0	0.0842531	0.0528682	0.0402771	0.044238	0.0550573	0.0765059	0.0935614	0.112889	0.037127
