protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	P23919	Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4	DTYMK	27642.1	7.81275	0.0	74	436	13	8	5	8	7	126	1.90925e+08	2.00628e+08	1.95179e+08	2.05255e+08	1.95304e+08	1.63282e+08	1.28645e+08	1.78984e+06	3.06393e+06	0.0	1.0	1.05223	1.02228	1.0763	1.02348	0.851646	0.672096	0.00937459	0.0160143	0.0	0.0	0.0965164	0.0785623	0.0777433	0.10521	0.163267	0.0679257	0.0176243	0.00803407	0.0
2	E7ET07|Q9NXR8	Inhibitor of growth protein OS=Homo sapiens GN=ING3 PE=1 SV=1|Inhibitor of growth protein 3 OS=Homo sapiens GN=ING3 PE=1 SV=2	ING3	51532.9|53413.8	5.7063	0.00635462	28	49	3	2	1	2	2	126	2.98272e+07	3.16394e+07	3.16101e+07	3.45158e+07	3.13486e+07	2.65942e+07	2.15608e+07	733690.0	835881.0	0.0	1.0	1.06076	1.05977	1.15719	1.05101	0.891607	0.722857	0.024598	0.0280241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	Q9C0H2	Protein tweety homolog 3 OS=Homo sapiens GN=TTYH3 PE=1 SV=3	TTYH3	60310.6	6.86595	0.000523195	42	109	3	3	2	1	1	126	5.07208e+07	5.32893e+07	5.07598e+07	5.21587e+07	4.23768e+07	3.84985e+07	2.61771e+07	0.0	700753.0	0.0	1.0	1.05064	1.00077	1.02835	0.835493	0.759028	0.516102	0.0	0.0138159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	Q07960	Rho GTPase-activating protein 1 OS=Homo sapiens GN=ARHGAP1 PE=1 SV=1	ARHGAP1	57336.1	7.59425	0.0	78	626	23	14	4	19	14	126	6.79319e+08	7.02793e+08	7.38387e+08	7.33721e+08	7.01676e+08	5.77397e+08	4.61533e+08	9.41088e+06	1.598e+07	0.0	1.0	1.03587	1.08633	1.0821	1.03455	0.851244	0.677833	0.013259	0.0236889	0.0	0.0	0.0787235	0.0518519	0.0944146	0.136587	0.116535	0.0825548	0.0213287	0.0222716	0.0
5	Q9NXR7	BRCA1-A complex subunit BRE OS=Homo sapiens GN=BRE PE=1 SV=2	BRE	48334.1	7.00288	0.0	66	267	10	6	3	7	5	126	1.60914e+08	1.69272e+08	1.59156e+08	1.69352e+08	1.6396e+08	1.47567e+08	1.15935e+08	3.33388e+06	4.03663e+06	0.0	1.0	1.05005	0.989078	1.05244	1.0177	0.916736	0.720419	0.0211296	0.0260439	0.0	0.0	0.117612	0.129984	0.103273	0.0925264	0.0912805	0.0465181	0.0453828	0.0524503	0.0
6	A0A087X0P4|A0A0A0MTI0|P40424	Pre-B-cell leukemia transcription factor 1 OS=Homo sapiens GN=PBX1 PE=1 SV=1|Pre-B-cell leukemia transcription factor 1 OS=Homo sapiens GN=PBX1 PE=1 SV=1|Pre-B-cell leukemia transcription factor 1 OS=Homo sapiens GN=PBX1 PE=1 SV=1	PBX1	32736.2|40872.8|51694.3	5.90536	0.0	73	189	4	3	2	2	2	126	1.05215e+07	1.18118e+07	1.15047e+07	1.15696e+07	1.11147e+07	9.34504e+06	8.13193e+06	119547.0	174251.0	0.0	1.0	1.12263	1.09345	1.09961	1.05638	0.888183	0.772885	0.0113621	0.0165613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	P40429	60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2	RPL13A	30036.0	8.15469	0.0	81	701	50	17	12	37	14	126	1.17602e+09	1.17856e+09	1.16549e+09	1.24044e+09	1.59333e+09	9.03766e+08	5.3059e+08	1.1295e+07	1.43284e+07	0.0	1.0	1.00258	0.991644	1.05478	1.35472	0.768602	0.451059	0.00954217	0.0121427	0.0	0.0	0.054278	0.0478585	0.0590466	0.0794349	0.0566439	0.0476243	0.00840085	0.00860227	0.0
8	A0A0C4DGB6|H0YA55|P02768	Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=1|Serum albumin (Fragment) OS=Homo sapiens GN=ALB PE=1 SV=1|Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2	ALB	84697.7|64305.4|85067.0	7.61986	0.000512996	40	147	10	4	4	5	4	126	1.30555e+08	1.26139e+08	1.56366e+08	1.42061e+08	1.91799e+08	8.20876e+08	1.24276e+08	4.71258e+06	4.43107e+06	0.0	1.0	0.966171	1.19929	1.08813	1.46689	6.28758	0.951905	0.0373243	0.0339402	0.0	0.0	0.168412	0.0987328	0.204374	0.102255	2.28855	0.101728	0.031562	0.017715	0.0
9	P05388	60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1	RPLP0	38777.0	8.80581	0.0	125	791	53	14	16	37	14	126	1.98657e+09	1.93561e+09	1.84723e+09	1.99626e+09	2.3968e+09	1.49379e+09	8.53033e+08	1.93353e+07	3.04977e+07	0.0	1.0	0.976311	0.932163	1.00946	1.21176	0.755556	0.432563	0.00975997	0.0156459	0.0	0.0	0.155602	0.351595	0.301101	0.523623	0.398263	0.212153	0.00751533	0.00934556	0.0
10	P02765	Alpha-2-HS-glycoprotein OS=Homo sapiens GN=AHSG PE=1 SV=1	AHSG	43764.6	5.78297	0.000400802	53	84	3	2	0	3	2	126	5.30729e+07	4.98317e+07	5.9641e+07	5.83274e+07	5.94483e+07	2.21486e+08	4.11159e+07	174068.0	1.23462e+06	0.0	1.0	0.93893	1.12376	1.09901	1.12013	4.17325	0.774706	0.00327979	0.0232627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
