protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	P23919	Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4	DTYMK	27642.1	7.85792	0.0	80	548	22	11	5	16	11	126	9.95996e+07	1.11509e+08	1.01783e+08	1.19887e+08	9.4636e+07	7.11734e+07	8.2747e+07	388001.0	47336.4	110755.0	1.0	1.11842	1.02194	1.20093	0.950853	0.715552	0.831357	0.0037342	0.000454131	0.00101701	0.0	0.0903563	0.097049	0.103831	0.0783394	0.0874954	0.0873175	0.0100173	0.0016342	0.00411936
2	Q9C0H5	Rho GTPase-activating protein 39 OS=Homo sapiens GN=ARHGAP39 PE=1 SV=2	ARHGAP39	133923.0	6.19525	0.00817638	30	58	2	2	0	2	2	126	1.0257e+07	1.246e+07	1.11832e+07	1.33732e+07	1.03151e+07	8.2283e+06	9.66566e+06	0.0	0.0	0.0	1.0	1.21478	1.0903	1.30382	1.00567	0.802216	0.94235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	P40429	60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2	RPL13A	30036.0	8.4629	0.0	78	539	74	12	22	44	11	126	2.00885e+08	2.24509e+08	2.06904e+08	2.40905e+08	1.99454e+08	1.6561e+08	2.02256e+08	875501.0	595232.0	0.0	1.0	1.11601	1.03007	1.19881	0.993271	0.824482	1.00733	0.0040592	0.00276355	0.0	0.0	0.141915	0.0620376	0.0913947	0.0681431	0.077064	0.0643618	0.0127995	0.00788384	0.0
4	Q9P2J5	Leucine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=LARS PE=1 SV=2	LARS	161014.0	7.99029	0.0	161	2304	129	43	21	105	42	126	3.62656e+08	4.17953e+08	3.86906e+08	4.53285e+08	3.71648e+08	2.8461e+08	3.20952e+08	547294.0	839778.0	0.0	1.0	1.15157	1.06616	1.24936	1.02152	0.784873	0.884845	0.00143666	0.002197	0.0	0.0	0.0803005	0.0649534	0.0782217	0.107521	0.0555573	0.0397388	0.00303023	0.00370641	0.0
5	A8MYQ9|P0DI83|Q9BZG1	Ras-related protein Rab-34, isoform NARR OS=Homo sapiens GN=RAB34 PE=1 SV=2|Ras-related protein Rab-34, isoform NARR OS=Homo sapiens GN=RAB34 PE=1 SV=1|Ras-related protein Rab-34 OS=Homo sapiens GN=RAB34 PE=1 SV=1	RAB34	33992.3|21105.6|33836.2	7.5475	0.0	68	633	23	13	4	16	12	126	4.87856e+07	5.48529e+07	5.18874e+07	6.25846e+07	5.00083e+07	3.9921e+07	4.50961e+07	559710.0	334869.0	0.0	1.0	1.12614	1.06178	1.28451	1.02604	0.819213	0.924207	0.0107003	0.00634939	0.0	0.0	0.107572	0.133506	0.132466	0.138384	0.126282	0.0781583	0.0324443	0.0215078	0.0
6	I3L1H5|Q9BZG8	Diphthamide biosynthesis protein 1 (Fragment) OS=Homo sapiens GN=DPH1 PE=1 SV=1|Diphthamide biosynthesis protein 1 OS=Homo sapiens GN=DPH1 PE=1 SV=2	DPH1	51173.0|52552.8	6.99915	0.0	61	192	5	5	0	5	5	126	2.42046e+07	2.61612e+07	2.45192e+07	2.85971e+07	2.4167e+07	2.1961e+07	2.55959e+07	15987.6	0.0	0.0	1.0	1.0805	1.013	1.18096	0.998443	0.907304	1.05748	0.000650051	0.0	0.0	0.0	0.0804557	0.178622	0.211387	0.171385	0.120737	0.116768	0.00200556	0.0	0.0
7	###REV###F8WDM4	Reverse sequence, was NAD-dependent protein deacetylase sirtuin-2 OS=Homo sapiens GN=SIRT2 PE=1 SV=1	###SIRT2###	6135.28	5.65808	0.0238128	21	21	1	1	0	1	1	126	339486.0	150262.0	328033.0	462612.0	348256.0	321002.0	376144.0	0.0	0.0	0.0	1.0	0.442615	0.966262	1.36268	1.02583	0.945552	1.10798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	E7ETU7|H0Y9G6|P09001	39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial (Fragment) OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1	MRPL3	49678.4|48460.3|45997.2	7.42549	0.000226552	60	345	14	9	5	9	7	126	4.62793e+07	5.37803e+07	4.97503e+07	5.39911e+07	4.47979e+07	3.71736e+07	4.41869e+07	177381.0	122512.0	0.0	1.0	1.15705	1.07129	1.16942	0.963235	0.803669	0.955329	0.00366744	0.00254062	0.0	0.0	0.207954	0.155367	0.148829	0.299487	0.145789	0.178057	0.00901627	0.00609053	0.0
9	P53701	Cytochrome c-type heme lyase OS=Homo sapiens GN=HCCS PE=1 SV=1	HCCS	35105.9	8.02046	0.0	82	380	24	9	12	12	9	126	4.99571e+07	5.65904e+07	5.25559e+07	6.15968e+07	4.5663e+07	4.14219e+07	4.68946e+07	313005.0	251790.0	0.0	1.0	1.13143	1.0537	1.23275	0.913587	0.830467	0.938519	0.00592698	0.00490057	0.0	0.0	0.11594	0.118261	0.125944	0.13498	0.146524	0.102536	0.0157314	0.00835545	0.0
10	A0A0C4DFX7|Q9H967	WD repeat-containing protein 76 OS=Homo sapiens GN=WDR76 PE=1 SV=1|WD repeat-containing protein 76 OS=Homo sapiens GN=WDR76 PE=1 SV=2	WDR76	71963.9|80320.4	6.93676	0.0	89	492	16	12	6	10	9	126	3.9675e+07	4.16769e+07	4.00433e+07	4.62001e+07	1.76795e+07	1.37539e+07	2.47572e+07	146353.0	0.0	0.0	1.0	1.05022	1.01185	1.16392	0.445739	0.345578	0.623717	0.00359443	0.0	0.0	0.0	0.132696	0.174116	0.135298	0.172349	0.140844	0.101055	0.0100943	0.0	0.0
11	Q14562	ATP-dependent RNA helicase DHX8 OS=Homo sapiens GN=DHX8 PE=1 SV=1	DHX8	160707.0	7.23342	0.0	113	1357	50	26	15	33	23	126	1.07901e+08	1.19766e+08	1.19151e+08	1.46946e+08	1.01205e+08	7.43795e+07	9.71179e+07	379176.0	344184.0	0.0	1.0	1.10904	1.10573	1.36246	0.938058	0.689354	0.89581	0.00321821	0.00306519	0.0	0.0	0.0860811	0.100378	0.140087	0.569045	0.0605429	0.495081	0.00937094	0.00857052	0.0
12	Q14566	DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1	MCM6	103884.0	8.14822	0.0	104	2219	133	45	37	89	42	126	3.67588e+08	4.10063e+08	3.74258e+08	4.3334e+08	3.42652e+08	2.67847e+08	3.24105e+08	984612.0	594415.0	0.0	1.0	1.11546	1.0182	1.17911	0.932655	0.728457	0.881919	0.00256996	0.00153785	0.0	0.0	0.0501585	0.0442955	0.0535878	0.0539203	0.0473178	0.0465224	0.00407952	0.00278664	0.0
