protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	P23919	Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4	DTYMK	27642.1	7.99803	0.0	73	721	33	15	7	26	15	126	2.56004e+08	2.11031e+08	5.10966e+08	4.56003e+08	3.23857e+08	2.33657e+08	4.82282e+08	4.56745e+08	1.75814e+06	4.55724e+06	1.0	0.823782	1.99534	1.78217	1.26564	0.913362	1.87783	1.77567	0.00648289	0.0177069	0.0	0.0805788	0.179083	0.225166	0.112343	0.101177	0.428006	0.378576	0.0128321	0.0255835
2	P40424	Pre-B-cell leukemia transcription factor 1 OS=Homo sapiens GN=PBX1 PE=1 SV=1	PBX1	51694.3	6.78439	0.0	60	143	4	2	1	3	2	126	1.21655e+07	1.0931e+07	2.87402e+07	2.63467e+07	1.5315e+07	1.09795e+07	2.62007e+07	2.6998e+07	248635.0	641655.0	1.0	0.89853	2.36245	2.1657	1.2589	0.902516	2.1537	2.21924	0.0204378	0.052744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	P40425	Pre-B-cell leukemia transcription factor 2 OS=Homo sapiens GN=PBX2 PE=1 SV=2	PBX2	51179.2	6.29968	0.000187899	56	107	3	1	2	1	1	126	6.00573e+06	5.88332e+06	1.20988e+07	1.29669e+07	1.10498e+07	7.3096e+06	1.37326e+07	1.48435e+07	229890.0	549781.0	1.0	0.979617	2.01454	2.15908	1.83987	1.2171	2.28658	2.47155	0.0382784	0.0915426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	P40429	60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2	RPL13A	30036.0	8.56524	0.0	80	605	85	15	19	64	14	126	6.59076e+08	5.55322e+08	5.75228e+08	3.6358e+08	8.82426e+08	6.17139e+08	7.0613e+08	6.93412e+08	3.826e+06	8.91011e+06	1.0	0.843426	0.870661	0.551463	1.3391	0.937303	1.06842	1.05269	0.00574749	0.0135087	0.0	0.0707541	0.174342	0.140626	0.0680461	0.0987454	0.162643	0.219144	0.00480078	0.010336
5	A0A087WT59|A0A087WV45|P02766	Transthyretin OS=Homo sapiens GN=TTR PE=1 SV=1|Transthyretin OS=Homo sapiens GN=TTR PE=1 SV=1|Transthyretin OS=Homo sapiens GN=TTR PE=1 SV=1	TTR	22194.3|17057.9|17824.4	7.22522	0.00121065	40	65	2	2	0	2	2	126	1.3407e+07	1.26019e+07	3.18686e+07	3.13005e+07	1.48956e+07	1.2682e+07	3.63482e+07	3.26268e+07	143507.0	375679.0	1.0	0.939951	2.37701	2.33464	1.11103	0.945927	2.71114	2.43357	0.0107039	0.0280211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	P0DI83|Q9BZG1	Ras-related protein Rab-34, isoform NARR OS=Homo sapiens GN=RAB34 PE=1 SV=1|Ras-related protein Rab-34 OS=Homo sapiens GN=RAB34 PE=1 SV=1	RAB34	21105.6|33836.2	7.76539	0.0	86	675	22	13	2	19	12	126	1.24186e+08	1.13964e+08	2.2645e+08	2.20437e+08	1.77458e+08	1.40208e+08	2.26891e+08	2.32377e+08	769878.0	2.47604e+06	1.0	0.917439	1.82252	1.77142	1.42807	1.12973	1.81342	1.86032	0.00600559	0.0196728	0.0	0.0985549	0.136932	0.258787	0.18155	0.191444	0.544413	0.382846	0.0105475	0.0235261
7	I3L1H5|Q9BZG8	Diphthamide biosynthesis protein 1 (Fragment) OS=Homo sapiens GN=DPH1 PE=1 SV=1|Diphthamide biosynthesis protein 1 OS=Homo sapiens GN=DPH1 PE=1 SV=2	DPH1	51173.0|52552.8	7.01333	0.000173671	51	261	9	7	1	8	7	126	5.04026e+07	4.42857e+07	1.12191e+08	1.08417e+08	7.07495e+07	5.40472e+07	9.95167e+07	1.05638e+08	361247.0	1.59228e+06	1.0	0.877361	2.2422	2.16086	1.40301	1.07272	1.98498	2.09811	0.00697803	0.0312011	0.0	0.114581	0.662056	0.711112	0.110516	0.138615	0.524588	0.560557	0.0164775	0.0767325
8	E7ETU7|H0Y9G6|P09001	39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial (Fragment) OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1	MRPL3	49678.4|48460.3|45997.2	7.68348	0.0	85	400	18	10	3	15	10	126	1.36173e+08	1.22959e+08	3.22849e+08	3.02867e+08	1.60399e+08	1.31781e+08	2.68439e+08	3.04679e+08	1.90255e+06	3.40816e+06	1.0	0.904069	2.37676	2.22564	1.17779	0.968517	1.97348	2.24178	0.0132837	0.0249772	0.0	0.115876	0.293173	0.229419	0.107771	0.138811	0.181198	0.272523	0.0199519	0.0199313
9	P53701	Cytochrome c-type heme lyase OS=Homo sapiens GN=HCCS PE=1 SV=1	HCCS	35105.9	7.7829	0.0	86	648	30	13	6	24	12	126	1.57498e+08	1.35664e+08	3.89323e+08	3.85131e+08	1.83623e+08	1.3868e+08	3.12192e+08	3.44627e+08	1.435e+06	5.09178e+06	1.0	0.860848	2.46905	2.44106	1.16831	0.879846	1.98454	2.18867	0.00890545	0.0322305	0.0	0.0885422	0.442703	0.432542	0.123304	0.114728	0.242077	0.356107	0.0126011	0.0329147
10	A0A0C4DFX7|Q9H967	WD repeat-containing protein 76 OS=Homo sapiens GN=WDR76 PE=1 SV=1|WD repeat-containing protein 76 OS=Homo sapiens GN=WDR76 PE=1 SV=2	WDR76	71963.9|80320.4	6.58581	0.000184502	55	255	9	6	3	6	6	126	6.81959e+07	6.46245e+07	4.353e+07	4.812e+07	3.5635e+07	2.5684e+07	3.75113e+07	3.80127e+07	363639.0	1.02508e+06	1.0	0.94763	0.638308	0.704095	0.521594	0.376621	0.548052	0.552942	0.00484488	0.0146293	0.0	0.143993	0.392813	0.193065	0.202109	0.113586	0.42283	0.436487	0.0242018	0.0358911
