protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	P23919	Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4	DTYMK	27642.1	7.16037	0.0	80	591	22	13	5	17	10	126	1.15197e+08	1.2096e+08	1.09953e+08	1.16515e+08	7.4971e+07	8.71397e+07	7.50604e+07	3.67385e+07	8.29652e+06	2.66805e+06	1.0	1.04913	0.953986	1.01209	0.651113	0.757396	0.65174	0.316817	0.071907	0.0222958	0.0	0.151583	0.11927	0.0962063	0.0672137	0.0943744	0.115749	0.388654	0.0689476	0.0485967
2	Q9C0H2	Protein tweety homolog 3 OS=Homo sapiens GN=TTYH3 PE=1 SV=3	TTYH3	60310.6	6.19228	0.0	64	169	6	4	3	3	3	126	1.13336e+07	1.29665e+07	1.20429e+07	1.22782e+07	7.58599e+06	7.72979e+06	7.89036e+06	6.99848e+06	5.14591e+06	3.8886e+06	1.0	1.14408	1.06259	1.08335	0.669339	0.682027	0.696195	0.617501	0.454042	0.343105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	A0A087WVV7|A0A087X165|Q9C0H9	SRC kinase-signaling inhibitor 1 (Fragment) OS=Homo sapiens GN=SRCIN1 PE=1 SV=1|SRC kinase-signaling inhibitor 1 OS=Homo sapiens GN=SRCIN1 PE=1 SV=1|SRC kinase signaling inhibitor 1 OS=Homo sapiens GN=SRCIN1 PE=1 SV=3	SRCIN1	111988.0|145563.0|126191.0	5.95176	0.014989	23	45	4	1	3	1	1	126	2.21356e+06	2.30556e+06	1.78771e+06	2.41616e+06	984930.0	1.10804e+06	1.2737e+06	1.15576e+06	1.03712e+06	594172.0	1.0	1.04156	0.807617	1.09153	0.444953	0.500568	0.575407	0.522127	0.468531	0.268424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	A0A087X0P4|A0A0A0MTI0|F8WA05|H0YKH1|H0YLB0|H0YLD4|H0YLF5|H0YLM3|H0YLT4|P40424	Pre-B-cell leukemia transcription factor 1 OS=Homo sapiens GN=PBX1 PE=1 SV=1|Pre-B-cell leukemia transcription factor 1 OS=Homo sapiens GN=PBX1 PE=1 SV=1|Pre-B-cell leukemia transcription factor 1 (Fragment) OS=Homo sapiens GN=PBX1 PE=1 SV=1|Pre-B-cell leukemia transcription factor 1 (Fragment) OS=Homo sapiens GN=PBX1 PE=1 SV=1|Pre-B-cell leukemia transcription factor 1 OS=Homo sapiens GN=PBX1 PE=1 SV=1|Pre-B-cell leukemia transcription factor 1 (Fragment) OS=Homo sapiens GN=PBX1 PE=1 SV=7|Pre-B-cell leukemia transcription factor 1 OS=Homo sapiens GN=PBX1 PE=1 SV=1|Pre-B-cell leukemia transcription factor 1 (Fragment) OS=Homo sapiens GN=PBX1 PE=1 SV=1|Pre-B-cell leukemia transcription factor 1 (Fragment) OS=Homo sapiens GN=PBX1 PE=1 SV=7|Pre-B-cell leukemia transcription factor 1 OS=Homo sapiens GN=PBX1 PE=1 SV=1	PBX1	32736.2|40872.8|20089.2|19857.5|39009.8|15747.2|40976.9|11444.8|17504.3|51694.3	5.9828	0.00285663	37	98	5	3	3	2	2	126	1.47664e+07	1.45766e+07	1.48367e+07	1.57434e+07	9.34847e+06	8.80102e+06	4.91191e+06	3.45737e+06	2.54842e+06	1.26685e+06	1.0	0.987152	1.00476	1.06617	0.633093	0.596018	0.332642	0.234139	0.172583	0.0857927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	P40429	60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2	RPL13A	30036.0	8.09523	0.0	83	640	98	15	39	58	13	126	4.07095e+08	3.77213e+08	4.12836e+08	4.73412e+08	2.65886e+08	2.88478e+08	2.7535e+08	2.06075e+08	4.9803e+07	1.51713e+07	1.0	0.927638	1.01392	1.16247	0.652856	0.709439	0.67647	0.506386	0.122148	0.037039	0.0	0.0831429	0.0433673	0.0540196	0.0536036	0.082525	0.0643426	0.0629032	0.0349242	0.0293903
6	Q9BZG1	Ras-related protein Rab-34 OS=Homo sapiens GN=RAB34 PE=1 SV=1	RAB34	33836.2	6.96688	0.0	67	556	20	12	4	16	11	126	7.86902e+07	7.85029e+07	8.48201e+07	9.1215e+07	5.42804e+07	5.40684e+07	2.92733e+07	1.34289e+07	8.42315e+06	3.99123e+06	1.0	0.997856	1.07691	1.15715	0.687794	0.686546	0.369959	0.170172	0.107841	0.0495801	0.0	0.0819203	0.163872	0.181314	0.118526	0.145513	0.10467	0.264629	0.170164	0.0772024
7	I3L1H5|Q9BZG8	Diphthamide biosynthesis protein 1 (Fragment) OS=Homo sapiens GN=DPH1 PE=1 SV=1|Diphthamide biosynthesis protein 1 OS=Homo sapiens GN=DPH1 PE=1 SV=2	DPH1	51173.0|52552.8	6.30514	0.000256148	58	329	12	8	3	9	8	126	3.09163e+07	3.06183e+07	2.99063e+07	3.11561e+07	1.72784e+07	1.90387e+07	1.31464e+07	6.52776e+06	2.75754e+06	920594.0	1.0	0.990989	0.967329	1.0081	0.558733	0.613564	0.418957	0.206132	0.0878911	0.0298795	0.0	0.193818	0.11793	0.248876	0.060911	0.110646	0.186062	0.160995	0.0973708	0.0267797
8	###REV###Q2TAC2	Reverse sequence, was Coiled-coil domain-containing protein 57 OS=Homo sapiens GN=CCDC57 PE=1 SV=2	###CCDC57###	117139.0	6.31323	0.00945704	28	53	5	2	2	0	0	126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	E7ETU7|H0Y9G6|P09001	39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial (Fragment) OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1	MRPL3	49678.4|48460.3|45997.2	6.80481	0.0021692	38	280	12	8	4	8	8	126	1.13819e+08	1.17112e+08	1.26469e+08	1.1089e+08	5.65169e+07	4.15049e+07	2.13643e+07	1.41199e+07	1.08199e+07	5.99159e+06	1.0	1.02923	1.1058	0.973653	0.495827	0.360821	0.186407	0.121864	0.0932359	0.0524753	0.0	0.0784532	0.409277	0.164387	0.237967	0.184958	0.146635	0.104336	0.0938798	0.0499373
10	P53701	Cytochrome c-type heme lyase OS=Homo sapiens GN=HCCS PE=1 SV=1	HCCS	35105.9	7.27398	0.0	91	448	17	8	2	15	8	126	8.92657e+07	8.91512e+07	8.99314e+07	1.02721e+08	5.77474e+07	7.52276e+07	7.09288e+07	4.86509e+07	2.18028e+07	6.13762e+06	1.0	0.999638	1.00639	1.15052	0.648826	0.842182	0.796234	0.55059	0.245949	0.068767	0.0	0.118182	0.0936982	0.141764	0.118515	0.162877	0.139591	0.745207	0.443852	0.132358
