protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	P23919	Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4	DTYMK	27642.1	7.43162	0	73	549	20	11	1	19	11	126	130103430.536906	135077595.431754	121991860.270573	124031930.975288	99008611.6308686	88635600.9420858	83696542.1346741	67338627.8610432	28098738.5009734	6174188.11465495	1	1.03823238844911	0.93765291020492	0.95333328616654	0.760999239007641	0.681270283007204	0.643307726700815	0.517577650206093	0.215972310530296	0.0474559978101697	0	0.113864	0.1169	0.125545	0.193285	0.194331	0.221868	0.216086	0.0914806	0.0707926
2	Q9C0H2	Protein tweety homolog 3 OS=Homo sapiens GN=TTYH3 PE=1 SV=3	TTYH3	60310.6	6.20894	0.000427991	49	94	3	2	1	2	2	126	13286022.9060819	12563768.9971161	12021572.2504597	13834783.8886721	10759301.7275002	8340744.31935403	6929496.52515126	4644100.75174242	2714706.96069892	1610100.065629	1	0.94563806535098	0.904828505523398	1.04130363062516	0.809821103241883	0.627783376433584	0.521562891629456	0.349547850742942	0.204328035552025	0.121187512396351	0	0	0	0	0	0	0	0	0	0
5	Q07960	Rho GTPase-activating protein 1 OS=Homo sapiens GN=ARHGAP1 PE=1 SV=1	ARHGAP1	57336.1	7.54683	0	68	505	20	11	3	17	11	126	186892150.921102	178472216.398127	183221130.620377	188047282.171581	100165334.480402	46813232.7732147	19502270.6390881	12287502.0712654	6638541.81541025	3627160.0789746	1	0.954947628985608	0.980357546945484	1.00618073709776	0.535952601469538	0.250482604766946	0.104350399644772	0.0657464853965571	0.0355207095787172	0.0194077710652805	0	0.103248	0.188864	0.140492	0.120675	0.108493	0.0779506	0.0703087	0.0619587	0.0486039
6	Q9NXR7	BRCA1-A complex subunit BRE OS=Homo sapiens GN=BRE PE=1 SV=2	BRE	48334.1	7.04496	0	60	295	8	6	2	6	5	126	59205831.3938393	62415940.0891798	56532303.1443137	58108031.7475036	46007890.3910287	38000196.4281599	34427467.2381302	26033846.2307197	15871605.8224321	3048801.04922201	1	1.05421946824776	0.954843497902408	0.981457913511372	0.777083765363965	0.641831987382819	0.581487776248212	0.439717602435841	0.268075043433706	0.051494945302622	0	0.131462	0.276671	0.103936	0.0773342	0.105946	0.106625	0.125647	0.125033	0.103303
8	M0QYS1|P40429	60S ribosomal protein L13a (Fragment) OS=Homo sapiens GN=RPL13A PE=1 SV=2|60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2	RPL13A	30674.2|30036.0	7.82401	0	67	447	37	11	8	29	10	126	232212147.922281	213258871.313305	249395675.312897	319637820.357028	289130459.808051	228269002.247005	202445801.569386	98796017.5887322	20016045.1060913	7750209.35750969	1	0.918379478513242	1.07399926121164	1.37649052048735	1.24511341200297	0.983019210189656	0.871814000175141	0.425455853505985	0.0861972350937921	0.0333755551845789	0	0.0552157	0.149542	0.270567	0.247525	0.21808	0.20955	0.121654	0.0771972	0.0525371
9	P20645	Cation-dependent mannose-6-phosphate receptor OS=Homo sapiens GN=M6PR PE=1 SV=1	M6PR	34694.9	7.79842	0	76	403	23	10	7	16	9	126	99659965.3259923	105626654.432254	103291069.549191	110785383.179967	106034963.509818	86085296.3718719	86083226.9799823	65941478.8574045	39853504.320239	23872473.354735	1	1.05987047142495	1.03643493363982	1.1116337720727	1.06396749349624	0.863790149738494	0.86376938521301	0.661664677904582	0.399894824264451	0.239539250055396	0	0.110045	0.205231	0.17612	0.233513	0.253817	0.312196	0.241306	0.19324	0.17396
10	P05386	60S acidic ribosomal protein P1 OS=Homo sapiens GN=RPLP1 PE=1 SV=1	RPLP1	13224.9	5.59013	0	90	142	2	1	1	1	1	126	14860574.0319594	15582948.6017136	12605956.9653163	16003697.7354984	14735607.068249	9285408.81507195	4937880.62451053	3509098.61130884	3470221.83424286	2536783.27745908	1	1.04861013902967	0.848281966645818	1.07692325350828	0.991590704138234	0.62483513726338	0.332280611360709	0.236134795584755	0.233518693610338	0.170705604777005	0	0	0	0	0	0	0	0	0	0
11	P05387	60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1	RPLP2	13949.5	7.30871	0	162	437	12	4	2	10	4	126	56039631.9872212	59367987.5012309	62884213.5233147	72347474.2277707	87348209.9311573	68842198.365744	41668058.5355142	37925869.9521473	38308734.296333	60673210.5142993	1	1.05939288671219	1.1221382313441	1.291005519884	1.55868635880898	1.22845557553701	0.743546255710884	0.676768718980802	0.683600747147458	1.08268395709905	0	0.108571	0.312453	0.281642	0.492297	0.403466	0.22588	0.275447	0.389899	0.85138
12	P05388	60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1	RPLP0	38777.0	8.40732	0	125	937	56	18	7	49	18	126	178999207.592528	202920866.150615	204844009.472597	239712281.560997	301908969.856034	267590913.38786	245675982.50637	159805255.478705	64775371.3770259	7281258.7908964	1	1.13364114221411	1.14438500721691	1.33918068568592	1.68664975625645	1.4949279216755	1.37249759823309	0.892770742552583	0.361875185081713	0.0406776034867785	0	0.10223	0.12758	0.243716	0.552795	0.538613	0.465582	0.354375	0.155846	0.0585112
14	P39023	60S ribosomal protein L3 OS=Homo sapiens GN=RPL3 PE=1 SV=2	RPL3	59198.0	8.2644	0	108	751	58	15	23	34	14	126	255343002.970701	253579797.793943	311961441.575122	401978175.545917	377631615.408575	330338249.921372	300171201.704969	151123772.335647	28850392.4206098	9935087.64045037	1	0.993094758202712	1.22173483489155	1.57426743975452	1.47891898746059	1.29370394362941	1.17556070937026	0.591846146467492	0.112986814147871	0.0389087914094531	0	0.0844178	0.200791	0.341662	0.357741	0.397869	0.383408	0.205584	0.105495	0.0266729
