protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	P23919	Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4	DTYMK	27642.1	7.83651	0.0	88	611	23	11	6	17	9	126	1.24018e+08	1.35328e+08	1.28105e+08	1.18617e+08	1.26535e+08	1.14259e+08	9.15762e+07	382038.0	353629.0	182615.0	1.0	1.09137	1.03263	0.955708	1.02035	0.922259	0.737813	0.00284676	0.00263003	0.00141421	0.0	0.0761226	0.0801936	0.105204	0.169069	0.104938	0.0600882	0.00935613	0.00846083	0.00515889
2	Q9C0H2	Protein tweety homolog 3 OS=Homo sapiens GN=TTYH3 PE=1 SV=3	TTYH3	60310.6	6.43594	0.00058326	53	119	5	3	1	4	3	126	2.05542e+07	2.0773e+07	2.20739e+07	2.29728e+07	2.43155e+07	2.11793e+07	2.05204e+07	783246.0	421561.0	0.0	1.0	1.01065	1.07394	1.11767	1.18299	1.03042	0.998357	0.0381065	0.0205098	0.0	0.0	0.147354	0.403353	0.219029	0.152497	0.199078	0.151849	0.50318	0.270823	0.0
3	P40429	60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2	RPL13A	30036.0	8.00183	0.0	74	680	82	17	28	49	15	126	3.52477e+08	4.1127e+08	3.98262e+08	3.50324e+08	4.74288e+08	5.0206e+08	3.32502e+08	2.26822e+06	1.31407e+06	98959.4	1.0	1.16637	1.12902	0.993958	1.34494	1.42424	0.943385	0.00633744	0.00361473	0.000273027	0.0	0.098563	0.0822356	0.0691236	0.0928025	0.103153	0.0677307	0.00778349	0.00638095	0.000962893
4	A0A0C4DGB6|H0YA55|P02768	Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=1|Serum albumin (Fragment) OS=Homo sapiens GN=ALB PE=1 SV=1|Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2	ALB	84697.7|64305.4|85067.0	7.11168	0.0	59	183	8	4	2	4	4	126	2.98954e+07	3.50426e+07	3.31275e+07	2.83543e+07	4.87857e+07	7.54721e+07	3.55834e+07	240321.0	362605.0	186632.0	1.0	1.17218	1.10811	0.948451	1.63188	2.52454	1.19027	0.00803874	0.0121291	0.00624285	0.0	0.354754	0.121848	0.184323	0.120456	0.491553	0.111955	0.0287518	0.0528661	0.0134843
5	C9JV77|P02765	Alpha-2-HS-glycoprotein OS=Homo sapiens GN=AHSG PE=1 SV=1|Alpha-2-HS-glycoprotein OS=Homo sapiens GN=AHSG PE=1 SV=1	AHSG	43851.6|43764.6	7.01142	0.0178536	28	28	1	1	0	1	1	126	1.41937e+07	1.78617e+07	1.43179e+07	1.31817e+07	1.73304e+07	2.28019e+07	1.41131e+07	0.0	44378.7	0.0	1.0	1.25842	1.00875	0.928704	1.221	1.60648	0.994321	0.0	0.00312665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	###REV###Q8NEG7	Reverse sequence, was Protein DENND6B OS=Homo sapiens GN=DENND6B PE=2 SV=1	###DENND6B###	75068.6	6.47964	0.0162107	29	29	2	1	1	1	1	126	9.5541e+06	1.24537e+07	1.15686e+07	6.47542e+06	9.32808e+06	6.96777e+06	7.88224e+06	0.0	0.0	0.0	1.0	1.3035	1.21086	0.677763	0.976342	0.729297	0.825011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	Q9BZG1	Ras-related protein Rab-34 OS=Homo sapiens GN=RAB34 PE=1 SV=1	RAB34	33836.2	7.24851	0.0	68	456	18	10	2	15	9	126	5.82275e+07	7.09045e+07	7.12804e+07	6.43578e+07	7.70836e+07	7.14853e+07	5.91772e+07	583370.0	103488.0	0.0	1.0	1.21781	1.22323	1.10511	1.32196	1.22667	1.01718	0.0095386	0.00167747	0.0	0.0	0.162876	0.148572	0.15961	0.180599	0.177137	0.137944	0.020455	0.00415269	0.0
8	I3L1H5|Q9BZG8	Diphthamide biosynthesis protein 1 (Fragment) OS=Homo sapiens GN=DPH1 PE=1 SV=1|Diphthamide biosynthesis protein 1 OS=Homo sapiens GN=DPH1 PE=1 SV=2	DPH1	51173.0|52552.8	6.68853	0.000570125	52	318	15	9	4	11	7	126	4.46698e+07	4.9963e+07	5.01606e+07	4.85524e+07	4.97178e+07	5.72271e+07	5.63977e+07	409803.0	175947.0	0.0	1.0	1.12307	1.12308	1.0886	1.11444	1.28471	1.25432	0.008713	0.00364568	0.0	0.0	0.33052	0.26646	0.312292	0.219571	0.31074	0.302523	0.024892	0.00911063	0.0
9	E7ETU7|H0Y9G6|P09001	39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial (Fragment) OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1	MRPL3	49678.4|48460.3|45997.2	6.79735	0.0010744	49	240	7	6	1	6	6	126	6.36746e+07	6.38433e+07	7.26851e+07	5.89712e+07	6.99308e+07	6.32002e+07	5.04054e+07	395625.0	310238.0	0.0	1.0	1.0027	1.14298	0.928258	1.10037	0.994183	0.79161	0.00607528	0.00485714	0.0	0.0	0.0578663	0.105038	0.122059	0.145059	0.132068	0.100928	0.0146368	0.0136011	0.0
10	P53701	Cytochrome c-type heme lyase OS=Homo sapiens GN=HCCS PE=1 SV=1	HCCS	35105.9	7.48185	0.0	91	657	29	13	3	25	12	126	1.49967e+08	1.76089e+08	1.76744e+08	1.53748e+08	1.45407e+08	1.56957e+08	1.49943e+08	511821.0	193365.0	0.0	1.0	1.1729	1.1778	1.02538	0.970209	1.04764	1.00021	0.00320519	0.00120794	0.0	0.0	0.148485	0.132545	0.128432	0.121064	0.128353	0.0859065	0.00789274	0.00376674	0.0
