protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	P23919	Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4	DTYMK	27642.1	7.8809	0.0	88	522	22	9	5	17	9	126	6.20728e+08	4.76916e+08	5.81799e+08	6.1538e+08	5.68465e+08	4.86128e+08	3.30594e+08	8.26284e+06	1.00938e+07	100881.0	1.0	0.768787	0.937021	0.991642	0.915763	0.782928	0.533313	0.0132621	0.0163153	0.00015811	0.0	0.0600359	0.0440311	0.0737637	0.0400928	0.0693867	0.0742595	0.00974883	0.00981671	0.000534224
2	Q9C0H2	Protein tweety homolog 3 OS=Homo sapiens GN=TTYH3 PE=1 SV=3	TTYH3	60310.6	6.19743	0.0	93	223	5	4	1	4	3	126	1.2604e+08	1.10697e+08	1.20629e+08	1.3427e+08	1.0498e+08	1.02659e+08	7.01756e+07	2.61926e+06	2.35406e+06	64317.7	1.0	0.878275	0.957452	1.0653	0.832913	0.814495	0.556774	0.0207813	0.0186771	0.000510297	0.0	0.110652	0.126608	0.237047	0.139067	0.105191	0.0988957	0.0119921	0.0116938	0.00116232
3	A0A087X0P4|A0A0A0MTI0|P40424	Pre-B-cell leukemia transcription factor 1 OS=Homo sapiens GN=PBX1 PE=1 SV=1|Pre-B-cell leukemia transcription factor 1 OS=Homo sapiens GN=PBX1 PE=1 SV=1|Pre-B-cell leukemia transcription factor 1 OS=Homo sapiens GN=PBX1 PE=1 SV=1	PBX1	32736.2|40872.8|51694.3	5.94384	0.0	52	123	3	2	2	1	1	126	2.24819e+07	1.76207e+07	2.30015e+07	2.28321e+07	2.2006e+07	1.91303e+07	1.25365e+07	257499.0	261069.0	0.0	1.0	0.783771	1.02311	1.01557	0.97883	0.850919	0.557627	0.0114536	0.0116124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	P40429	60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2	RPL13A	30036.0	8.21171	0.0	74	605	50	14	9	36	13	126	1.34116e+09	1.15018e+09	1.1343e+09	1.21378e+09	1.61865e+09	9.69818e+08	5.36417e+08	1.26029e+07	1.71828e+07	66715.9	1.0	0.85769	0.845699	0.904585	1.20749	0.724643	0.400562	0.00934725	0.0127861	4.8638e-05	0.0	0.0384194	0.0373017	0.0485466	0.0890778	0.0697423	0.0615358	0.00748634	0.00878394	0.000168539
5	A0A0C4DGB6|H0YA55|P02768	Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=1|Serum albumin (Fragment) OS=Homo sapiens GN=ALB PE=1 SV=1|Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2	ALB	84697.7|64305.4|85067.0	7.51976	0.0	66	207	12	5	6	5	4	126	1.2826e+08	8.65298e+07	9.94742e+07	1.04143e+08	1.35369e+08	1.93365e+08	1.2247e+08	2.21116e+06	3.44387e+06	0.0	1.0	0.674861	0.776333	0.811967	1.05543	1.50943	0.958532	0.0172323	0.0268506	0.0	0.0	0.051374	0.110608	0.188025	0.187603	0.42793	0.22594	0.0418142	0.0260897	0.0
6	P02765	Alpha-2-HS-glycoprotein OS=Homo sapiens GN=AHSG PE=1 SV=1	AHSG	43764.6	7.15043	0.000339271	46	71	2	2	1	1	1	126	4.09956e+07	3.86786e+07	2.96071e+07	4.33073e+07	6.11447e+07	5.94498e+07	3.8023e+07	1.85713e+06	1.51617e+06	0.0	1.0	0.94348	0.722202	1.05639	1.49149	1.45015	0.927488	0.0453006	0.0369836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	Q9BZG1	Ras-related protein Rab-34 OS=Homo sapiens GN=RAB34 PE=1 SV=1	RAB34	33836.2	7.70968	0.0	100	561	26	12	5	18	10	126	5.65603e+08	4.8706e+08	5.30651e+08	5.94961e+08	5.855e+08	4.3387e+08	2.37407e+08	8.83807e+06	8.89547e+06	194541.0	1.0	0.86165	0.938517	1.05226	1.03718	0.765468	0.4156	0.0151198	0.0151537	0.000332697	0.0	0.0764263	0.0642757	0.0918602	0.104341	0.114436	0.194992	0.0220223	0.0228081	0.00109414
8	I3L1H5|Q9BZG8	Diphthamide biosynthesis protein 1 (Fragment) OS=Homo sapiens GN=DPH1 PE=1 SV=1|Diphthamide biosynthesis protein 1 OS=Homo sapiens GN=DPH1 PE=1 SV=2	DPH1	51173.0|52552.8	6.90989	0.00143358	39	151	8	5	2	6	4	126	8.09983e+07	6.84769e+07	7.56566e+07	8.58113e+07	8.31166e+07	7.72515e+07	5.76604e+07	2.29941e+06	2.50777e+06	0.0	1.0	0.844884	0.933418	1.05681	1.02615	0.951668	0.70958	0.028332	0.0309608	0.0	0.0	0.0952092	0.0838152	0.19991	0.051829	0.103983	0.335434	0.0111516	0.0182643	0.0
9	E7ETU7|H0Y9G6|P09001	39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial (Fragment) OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1	MRPL3	49678.4|48460.3|45997.2	7.51513	0.0	64	363	18	8	3	15	8	126	5.25606e+08	4.14223e+08	5.05603e+08	5.04156e+08	4.8541e+08	4.3703e+08	3.1861e+08	9.91455e+06	1.11173e+07	0.0	1.0	0.787389	0.961346	0.958247	0.921817	0.831545	0.602193	0.0189979	0.0210701	0.0	0.0	0.0420833	0.0377947	0.0533156	0.0920298	0.0679058	0.155108	0.0137868	0.010873	0.0
10	P53701	Cytochrome c-type heme lyase OS=Homo sapiens GN=HCCS PE=1 SV=1	HCCS	35105.9	7.62688	0.0	82	360	16	8	6	10	7	126	3.43541e+08	2.65993e+08	3.53947e+08	3.39466e+08	2.74779e+08	2.44615e+08	1.56611e+08	4.13294e+06	4.91109e+06	0.0	1.0	0.774568	1.03049	0.987228	0.801969	0.712649	0.456391	0.0119034	0.0142249	0.0	0.0	0.0640262	0.0629456	0.103725	0.197351	0.167071	0.204486	0.0162563	0.0143831	0.0
11	A0A0C4DFX7|Q9H967	WD repeat-containing protein 76 OS=Homo sapiens GN=WDR76 PE=1 SV=1|WD repeat-containing protein 76 OS=Homo sapiens GN=WDR76 PE=1 SV=2	WDR76	71963.9|80320.4	6.06398	0.0	60	238	5	5	2	3	3	126	5.53255e+07	4.80263e+07	5.00832e+07	5.08545e+07	3.83861e+07	2.83837e+07	1.99328e+07	700697.0	963373.0	0.0	1.0	0.868068	0.905246	0.919188	0.693823	0.51303	0.360282	0.012665	0.0174128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	F5H658|Q14562	ATP-dependent RNA helicase DHX8 OS=Homo sapiens GN=DHX8 PE=1 SV=1|ATP-dependent RNA helicase DHX8 OS=Homo sapiens GN=DHX8 PE=1 SV=1	DHX8	154880.0|160707.0	7.08014	0.0	133	1563	72	28	37	35	27	126	8.52058e+08	7.88355e+08	9.00219e+08	9.97421e+08	9.76049e+08	8.21063e+08	4.43105e+08	1.32981e+07	1.52597e+07	0.0	1.0	0.925386	1.05643	1.16904	1.14453	0.963831	0.519696	0.0154732	0.0179235	0.0	0.0	0.0501381	0.0440809	0.0654626	0.0742426	0.0808202	0.104998	0.0132964	0.0108631	0.0
13	Q14566	DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1	MCM6	103884.0	8.21664	0.0	177	2237	108	42	25	82	40	126	2.76706e+09	2.51639e+09	2.587e+09	2.91795e+09	2.7664e+09	2.16946e+09	1.26276e+09	2.88246e+07	3.7921e+07	44247.1	1.0	0.909589	0.934697	1.05393	0.999731	0.783589	0.456556	0.010278	0.0136564	1.56645e-05	0.0	0.0261665	0.0263744	0.038951	0.0359291	0.0502051	0.0630202	0.00578027	0.00663757	5.08425e-05
14	Q9Y5S2	Serine/threonine-protein kinase MRCK beta OS=Homo sapiens GN=CDC42BPB PE=1 SV=2	CDC42BPB	223688.0	6.88621	0.0	88	1191	45	19	22	23	17	126	5.31839e+08	4.77742e+08	4.94345e+08	5.68128e+08	5.06602e+08	4.09703e+08	2.698e+08	8.08762e+06	7.34682e+06	0.0	1.0	0.898885	0.931356	1.06843	0.954199	0.771438	0.509522	0.0151723	0.0138093	0.0	0.0	0.0596247	0.0758665	0.0453331	0.112323	0.0782104	0.100065	0.0129805	0.0160297	0.0
15	P19075	Tetraspanin-8 OS=Homo sapiens GN=TSPAN8 PE=1 SV=1	TSPAN8	29689.9	6.87374	0.0	55	132	5	3	1	4	3	126	1.1102e+08	1.00782e+08	1.05427e+08	1.34328e+08	9.61519e+07	7.18927e+07	4.78939e+07	864240.0	1.39042e+06	0.0	1.0	0.907787	0.949624	1.20994	0.866077	0.647566	0.431399	0.00778454	0.012524	0.0	0.0	0.0917592	0.0487854	0.0932385	0.0439439	0.135709	0.179528	0.0110127	0.0204932	0.0
16	Q8WUF8	Protein FAM172A OS=Homo sapiens GN=FAM172A PE=2 SV=1	FAM172A	55732.7	5.76466	0.000336304	45	119	4	3	3	1	1	126	6.00963e+06	5.20622e+06	5.88219e+06	5.14467e+06	5.6786e+06	4.91441e+06	3.59047e+06	22390.9	139981.0	0.0	1.0	0.866312	0.978794	0.856071	0.944916	0.817756	0.597453	0.00372584	0.0232928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	Q8WUF5	RelA-associated inhibitor OS=Homo sapiens GN=PPP1R13L PE=1 SV=4	PPP1R13L	94648.6	7.35241	0.0	76	978	40	21	11	29	20	126	8.17952e+08	7.28969e+08	8.17299e+08	9.12127e+08	7.41705e+08	6.50885e+08	3.97679e+08	1.25259e+07	1.4168e+07	0.0	1.0	0.891326	0.998964	1.11542	0.907361	0.795461	0.48513	0.0153812	0.0172215	0.0	0.0	0.0339625	0.0270201	0.0360708	0.0795301	0.0659642	0.130448	0.0115667	0.0127218	0.0
18	Q99519	Sialidase-1 OS=Homo sapiens GN=NEU1 PE=1 SV=1	NEU1	48472.6	6.87686	0.0	53	232	6	5	0	6	5	126	1.54548e+08	1.36565e+08	1.50022e+08	1.60888e+08	1.34032e+08	1.11118e+08	6.08101e+07	2.08946e+06	2.69743e+06	0.0	1.0	0.884471	0.970843	1.04014	0.867256	0.717086	0.393299	0.0134572	0.0174642	0.0	0.0	0.0405039	0.0689939	0.0653304	0.134417	0.138514	0.137425	0.0116347	0.0214504	0.0
