protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	P23919	Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4	DTYMK	27642.1	7.42328	0.0	90	463	18	9	2	16	9	126	6.02841e+07	5.24956e+07	5.52598e+07	5.28693e+07	5.65914e+07	3.92161e+07	3.1441e+07	1.40729e+07	2.19438e+06	1.19312e+06	1.0	0.870984	0.917572	0.87823	0.938742	0.647703	0.52013	0.232587	0.0359706	0.0193162	0.0	0.109176	0.147287	0.153526	0.158692	0.156046	0.119282	0.325326	0.07242	0.046316
2	P40429	60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2	RPL13A	30036.0	7.9804	0.0	73	394	57	9	12	44	7	126	1.57496e+08	1.53954e+08	1.51143e+08	1.99905e+08	1.96465e+08	9.9779e+07	1.06281e+08	6.04085e+07	5.45251e+06	2.24578e+06	1.0	0.976248	0.959691	1.26978	1.25009	0.634121	0.673011	0.383316	0.034019	0.0137466	0.0	0.0875366	0.0691494	0.146212	0.153738	0.072732	0.431271	0.214273	0.0384731	0.0255385
3	A0A087WT59|A0A087WV45|P02766	Transthyretin OS=Homo sapiens GN=TTR PE=1 SV=1|Transthyretin OS=Homo sapiens GN=TTR PE=1 SV=1|Transthyretin OS=Homo sapiens GN=TTR PE=1 SV=1	TTR	22194.3|17057.9|17824.4	6.54458	0.00737438	31	58	3	2	0	3	2	126	1.56099e+07	1.34296e+07	1.52471e+07	1.37034e+07	1.19241e+07	8.19406e+06	1.06076e+07	7.04968e+06	5.49231e+06	3.27457e+06	1.0	0.860324	0.976755	0.877865	0.763882	0.524926	0.67954	0.451615	0.351847	0.209775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	A8MYQ9|Q9BZG1	Ras-related protein Rab-34, isoform NARR OS=Homo sapiens GN=RAB34 PE=1 SV=2|Ras-related protein Rab-34 OS=Homo sapiens GN=RAB34 PE=1 SV=1	RAB34	33992.3|33836.2	6.66458	0.0	64	229	11	5	0	11	5	126	2.88458e+07	2.73674e+07	2.68951e+07	2.47234e+07	2.55943e+07	1.61645e+07	7.98441e+06	2.6813e+06	1.29337e+06	776684.0	1.0	0.948266	0.93221	0.854668	0.882825	0.561357	0.27803	0.0913788	0.0431932	0.0262545	0.0	0.120853	0.199337	0.154678	0.269694	0.18384	0.170677	0.127552	0.0711172	0.0461893
5	I3L1H5|Q9BZG8	Diphthamide biosynthesis protein 1 (Fragment) OS=Homo sapiens GN=DPH1 PE=1 SV=1|Diphthamide biosynthesis protein 1 OS=Homo sapiens GN=DPH1 PE=1 SV=2	DPH1	51173.0|52552.8	6.36521	0.0019459	40	186	8	6	1	7	6	126	2.06965e+07	1.918e+07	1.98149e+07	1.82544e+07	1.74466e+07	1.15316e+07	8.01824e+06	3.43516e+06	1.7829e+06	758446.0	1.0	0.925644	0.956948	0.882638	0.842973	0.559442	0.391038	0.167343	0.0859816	0.0345296	0.0	0.190589	0.27538	0.10522	0.31314	1.0515	0.239058	0.22331	0.311754	0.137038
6	E7ETU7|H0Y9G6|P09001	39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial (Fragment) OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1	MRPL3	49678.4|48460.3|45997.2	7.03478	0.0	50	207	10	6	3	7	6	126	7.23305e+07	6.4851e+07	5.86842e+07	5.13696e+07	3.68167e+07	1.44165e+07	8.02946e+06	5.08059e+06	1.85273e+06	1.23731e+06	1.0	0.896322	0.808095	0.713187	0.510764	0.199313	0.11151	0.0703215	0.0243007	0.0164404	0.0	0.0729669	0.149549	0.119555	0.137859	0.158126	0.171453	0.102338	0.0629269	0.0607738
7	P53701	Cytochrome c-type heme lyase OS=Homo sapiens GN=HCCS PE=1 SV=1	HCCS	35105.9	7.38824	0.0	60	370	15	9	3	11	9	126	4.79323e+07	4.61445e+07	5.01111e+07	4.50143e+07	4.51461e+07	3.20373e+07	2.76839e+07	1.47848e+07	4.5796e+06	1.52149e+06	1.0	0.960532	1.04471	0.940776	0.939058	0.667335	0.576661	0.307992	0.0953164	0.0315903	0.0	0.134409	0.19868	0.120262	0.15834	0.0969775	0.059714	0.0417473	0.140523	0.0436498
8	F5H658|Q14562	ATP-dependent RNA helicase DHX8 OS=Homo sapiens GN=DHX8 PE=1 SV=1|ATP-dependent RNA helicase DHX8 OS=Homo sapiens GN=DHX8 PE=1 SV=1	DHX8	154880.0|160707.0	6.46983	0.0	68	466	58	9	47	11	8	126	5.03624e+07	4.36266e+07	4.263e+07	3.84955e+07	2.0377e+07	8.07091e+06	6.25074e+06	3.01647e+06	1.24874e+06	910185.0	1.0	0.869932	0.847191	0.764798	0.406125	0.160456	0.125088	0.0598124	0.0242677	0.0179461	0.0	0.154446	0.0749509	0.0862611	0.150751	0.157193	0.242611	0.0566182	0.0766745	0.0500918
9	Q14566	DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1	MCM6	103884.0	7.71137	0.0	114	1567	79	34	25	52	34	126	3.09388e+08	2.85912e+08	2.74567e+08	2.61437e+08	2.17516e+08	6.55044e+07	2.90483e+07	1.6144e+07	9.90348e+06	5.22212e+06	1.0	0.924426	0.886808	0.844811	0.70283	0.210913	0.0933983	0.0509482	0.0310601	0.0163435	0.0	0.0566735	0.059118	0.0562311	0.0527924	0.110049	0.0729032	0.059038	0.0449339	0.0239831
10	Q92597	Protein NDRG1 OS=Homo sapiens GN=NDRG1 PE=1 SV=1	NDRG1	46243.0	6.70103	0.0	64	236	11	5	3	8	5	126	1.99001e+07	1.83967e+07	1.84438e+07	1.79988e+07	1.74878e+07	1.0906e+07	5.63366e+06	2.54175e+06	979970.0	603774.0	1.0	0.923119	0.926821	0.90634	0.875348	0.547858	0.282096	0.12678	0.0491215	0.028863	0.0	0.107958	0.146062	0.215913	0.248762	0.129621	0.108707	0.0596869	0.0936296	0.0616151
