protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	P23919	Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4	DTYMK	27642.1	7.57631	0	84	565	25	12	6	19	11	126	119420401.121418	147786123.598023	154716370.672734	153028090.187605	135224068.954462	121134011.953574	93576878.7182353	36812225.8937374	10769756.1940953	4865084.06120471	1	1.23752828001109	1.29556063469783	1.28142334769096	1.13233641559264	1.01434939772488	0.78359206500314	0.308257429618825	0.0901835540072032	0.0407391368268663	0	0.433918	0.474256	0.408937	0.41898	0.44288	0.310487	0.168182	0.113245	0.0398064
3	P40429	60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2	RPL13A	30036.0	7.89624	0	73	529	69	13	20	48	12	126	367752853.50695	323013404.488526	350664702.628855	510040771.025673	375020841.844666	278096225.834031	201019405.321161	131341835.048032	22810621.8143546	13623654.6166927	1	0.878343706672072	0.953533600854107	1.38691179731671	1.01976324117789	0.756204127805021	0.546615487559669	0.357147018155089	0.0620270423378877	0.0370456802354499	0	0.197388	0.20364	0.311909	0.242949	0.163505	0.13576	0.115351	0.0360393	0.0239949
4	Q9BZG1	Ras-related protein Rab-34 OS=Homo sapiens GN=RAB34 PE=1 SV=1	RAB34	33836.2	6.85331	0	93	370	17	8	2	15	8	126	72366373.6148101	71840677.6170713	67063998.4735671	67299596.3073907	56491974.0911583	46649688.3715103	22487483.9446466	10634499.6809073	6047534.87266704	2379976.05202099	1	0.992735631599602	0.926728743249367	0.929984369060847	0.780638454979827	0.644632113525767	0.310744933335231	0.146953607728257	0.0835683007256479	0.0328878722690882	0	0.349162	0.319044	0.263763	0.259681	0.284255	0.146703	0.30301	0.149366	0.0385243
5	I3L1H5|Q9BZG8	Diphthamide biosynthesis protein 1 (Fragment) OS=Homo sapiens GN=DPH1 PE=1 SV=1|Diphthamide biosynthesis protein 1 OS=Homo sapiens GN=DPH1 PE=1 SV=2	DPH1	51173.0|52552.8	6.50753	0	57	179	7	5	0	7	5	126	41949522.3560725	46046540.9282953	41394645.5264792	39310651.1209687	30725776.0289633	25828581.2645338	17524959.6152821	8531457.6383441	4086456.64836616	1964473.43118761	1	1.09766544032246	0.986772749761405	0.937094129160642	0.732446385638417	0.615706206266134	0.417763031162266	0.203374368983944	0.0974136633471016	0.0468294588556439	0	0.80016	0.598175	0.705866	0.280656	0.474504	0.332734	0.217642	0.103206	0.0607212
6	E7ETU7|H0Y9G6|P09001	39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial (Fragment) OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1	MRPL3	49678.4|48460.3|45997.2	7.19804	0.000210305	53	265	10	8	2	8	8	126	174786583.181643	159430488.218757	157127032.463811	131901870.59498	79378737.0479089	36147681.836374	17075410.6549811	10523811.8164522	6115397.08321668	2919089.44221333	1	0.912143743053049	0.898965067018447	0.754645283373405	0.454146626148167	0.206810392298867	0.0976929140907567	0.0602094944868602	0.0349877946687785	0.0167008782314815	0	0.412163	0.407332	0.313825	0.168864	0.077595	0.0542345	0.0579664	0.0360975	0.0136512
7	P53701	Cytochrome c-type heme lyase OS=Homo sapiens GN=HCCS PE=1 SV=1	HCCS	35105.9	7.53014	0	72	459	16	10	2	14	10	126	103166589.221364	90463396.7536372	93632866.089381	94475092.4286718	78946847.1648131	75351941.4351579	65826049.0721727	42664690.5111995	16442374.8897564	5487824.9712305	1	0.876867185746832	0.907589044050619	0.915752794986338	0.76523657281542	0.730390933769026	0.638055881937997	0.413551430101599	0.159376936020208	0.0531938199435409	0	0.835312	0.780267	0.277929	0.207501	0.658005	0.218795	0.171889	0.133177	0.0275183
9	Q14562	ATP-dependent RNA helicase DHX8 OS=Homo sapiens GN=DHX8 PE=1 SV=1	DHX8	160707.0	6.74525	0	90	746	30	15	15	15	14	126	99393483.4296554	117648828.605233	110896126.942554	103290339.986544	46715181.9339828	23727898.7777304	13298708.1749562	8899370.1670911	4470562.52122787	1633957.70781335	1	1.18366742512347	1.11572834672848	1.03920635863061	0.470002462153819	0.238726906020187	0.133798592383254	0.0895367569382909	0.0449784268240469	0.0164392840600034	0	0.577974	0.614029	0.503886	0.345932	0.36247	0.311611	0.251672	0.0875196	0.030432
10	Q14566	DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1	MCM6	103884.0	7.92508	0	149	2032	120	42	41	77	38	126	947406553.189468	846908538.882955	871626366.719308	872465497.532024	592315244.962558	175380191.778644	81608105.6296417	52464937.637871	30998381.4097632	12351602.7293656	1	0.893923032336874	0.920013022693326	0.920898736234034	0.625196482933872	0.185116084734924	0.0861384221535157	0.0553774274214659	0.0327191967433689	0.0130372781228751	0	0.122172	0.122947	0.119624	0.0919412	0.0605835	0.0494187	0.0361603	0.0166993	0.006545
11	Q92597	Protein NDRG1 OS=Homo sapiens GN=NDRG1 PE=1 SV=1	NDRG1	46243.0	6.65371	0	90	239	10	4	0	10	4	126	38091753.374329	44404544.375246	41651175.5268983	44426466.556122	38526668.834567	30410657.4048922	13687688.4155679	7780734.96739081	3389209.86595495	1818660.44303074	1	1.16572592337457	1.09344337913749	1.16630143326671	1.01141757524166	0.798352785340323	0.359334690662794	0.204262977630073	0.0889748978643504	0.0477442039792367	0	0.650491	0.493252	0.426061	0.351278	0.322349	0.125035	0.0776232	0.106623	0.0618654
12	Q9Y5S9	RNA-binding protein 8A OS=Homo sapiens GN=RBM8A PE=1 SV=1	RBM8A	22683.7	7.81129	0	88	358	18	6	4	14	5	126	157210484.437819	125387457.994428	117809153.24949	126385738.017078	84235148.4940829	53566465.3218782	40384788.3009522	25456007.2128824	10200285.7551594	4160996.0345093	1	0.797576945601374	0.749372115166321	0.803926903915032	0.535811264721345	0.340730871184773	0.256883556115022	0.16192308867893	0.0648829866000055	0.0264676751642165	0	0.153655	0.120757	0.155506	0.140884	0.113277	0.101744	0.0753094	0.0441531	0.0238847
