protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	P23919	Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4	DTYMK	27642.1	7.59545	0.0	70	364	16	8	4	12	8	126	4.70884e+07	4.16908e+07	4.34032e+07	4.81717e+07	4.20714e+07	3.00508e+07	1.53979e+07	7.43965e+06	1.4069e+06	542210.0	1.0	0.881252	0.920782	1.02458	0.893856	0.635847	0.328191	0.159062	0.0300357	0.0114371	0.0	0.208489	0.106834	0.164017	0.137179	0.127676	0.118324	0.117204	0.0541359	0.0212133
2	F8WA05|H0YKH1|H0YLF5|P40424	Pre-B-cell leukemia transcription factor 1 (Fragment) OS=Homo sapiens GN=PBX1 PE=1 SV=1|Pre-B-cell leukemia transcription factor 1 (Fragment) OS=Homo sapiens GN=PBX1 PE=1 SV=1|Pre-B-cell leukemia transcription factor 1 OS=Homo sapiens GN=PBX1 PE=1 SV=1|Pre-B-cell leukemia transcription factor 1 OS=Homo sapiens GN=PBX1 PE=1 SV=1	PBX1	20089.2|19857.5|40976.9|51694.3	5.80422	0.0	55	84	2	2	0	2	2	126	9.98242e+06	9.38672e+06	8.81848e+06	9.24674e+06	5.80125e+06	2.9291e+06	1.95994e+06	1.92138e+06	448586.0	213012.0	1.0	0.940325	0.883401	0.926302	0.581147	0.293426	0.196339	0.192476	0.0449376	0.0213387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	P40429	60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2	RPL13A	30036.0	7.6467	0.0	71	467	39	11	12	25	8	126	8.17787e+07	7.03763e+07	8.74881e+07	1.17582e+08	1.11921e+08	7.51433e+07	6.21697e+07	3.83856e+07	2.22457e+06	560218.0	1.0	0.861165	1.06979	1.43754	1.36755	0.919253	0.760177	0.470179	0.0272786	0.00684524	0.0	0.146165	0.143822	0.152235	0.236172	0.171139	0.163646	0.116511	0.0323141	0.0123018
4	Q9P2J5	Leucine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=LARS PE=1 SV=2	LARS	161014.0	7.49771	0.0	74	1385	66	32	17	49	30	126	3.28199e+08	2.73695e+08	2.66362e+08	2.17242e+08	9.44758e+07	3.10881e+07	1.75959e+07	1.77566e+07	4.87243e+06	1.47399e+06	1.0	0.83462	0.812012	0.662733	0.288301	0.0957472	0.054686	0.0544085	0.0146442	0.00421741	0.0	0.0594764	0.0681735	0.0818986	0.0624773	0.0754922	0.0514953	0.0604646	0.0203085	0.00994394
5	A8MYQ9|P0DI83|Q9BZG1	Ras-related protein Rab-34, isoform NARR OS=Homo sapiens GN=RAB34 PE=1 SV=2|Ras-related protein Rab-34, isoform NARR OS=Homo sapiens GN=RAB34 PE=1 SV=1|Ras-related protein Rab-34 OS=Homo sapiens GN=RAB34 PE=1 SV=1	RAB34	33992.3|21105.6|33836.2	6.7537	0.0	67	445	18	10	3	15	9	126	5.81592e+07	5.57506e+07	5.37227e+07	5.67771e+07	3.83268e+07	2.58761e+07	1.29366e+07	8.48628e+06	2.92938e+06	1.36607e+06	1.0	0.954247	0.924696	0.979501	0.663209	0.45013	0.223984	0.149077	0.049786	0.0229247	0.0	0.140234	0.0835959	0.184387	0.281144	0.269199	0.104097	0.285436	0.114557	0.0490653
6	I3L1H5|Q9BZG8	Diphthamide biosynthesis protein 1 (Fragment) OS=Homo sapiens GN=DPH1 PE=1 SV=1|Diphthamide biosynthesis protein 1 OS=Homo sapiens GN=DPH1 PE=1 SV=2	DPH1	51173.0|52552.8	6.44102	0.0	52	150	4	4	0	4	4	126	1.92769e+07	1.58559e+07	1.68009e+07	1.92774e+07	1.54692e+07	1.18893e+07	7.72034e+06	4.37036e+06	1.9943e+06	1.13959e+06	1.0	0.822533	0.871554	1.00002	0.80247	0.616763	0.400496	0.226714	0.103455	0.059117	0.0	0.0607544	0.138575	0.166201	0.293889	0.228598	0.0616251	0.144737	0.146325	0.0918366
7	E7ETU7|H0Y9G6|P09001	39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial (Fragment) OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1	MRPL3	49678.4|48460.3|45997.2	7.06572	0.0	52	165	6	4	0	6	4	126	4.62273e+07	3.9279e+07	3.80878e+07	3.63317e+07	2.46342e+07	1.06846e+07	4.92855e+06	4.62745e+06	1.63413e+06	469089.0	1.0	0.851357	0.823923	0.785936	0.532891	0.231998	0.106616	0.0995926	0.0352339	0.00978872	0.0	0.203422	0.105847	0.128816	0.139547	0.0490734	0.0367113	0.0417957	0.0572804	0.0221335
8	###REV###F5H7J9|###REV###H0YGW5|###REV###O75581	Reverse sequence, was Low-density lipoprotein receptor-related protein 6 OS=Homo sapiens GN=LRP6 PE=1 SV=1|Reverse sequence, was Low-density lipoprotein receptor-related protein 6 (Fragment) OS=Homo sapiens GN=LRP6 PE=1 SV=1|Reverse sequence, was Low-density lipoprotein receptor-related protein 6 OS=Homo sapiens GN=LRP6 PE=1 SV=2	###LRP6###	190780.0|179924.0|196169.0	6.60707	0.0103587	29	29	1	1	0	1	1	126	2.63442e+06	2.10109e+06	2.041e+06	2.41631e+06	2.20879e+06	2.1192e+06	1.74394e+06	1.84499e+06	829802.0	114785.0	1.0	0.797554	0.774743	0.917208	0.838438	0.80443	0.661983	0.700343	0.314985	0.0435714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	Q14566	DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1	MCM6	103884.0	7.859	0.0	102	1807	79	36	17	59	35	126	3.77304e+08	3.36054e+08	3.56397e+08	3.7251e+08	2.36992e+08	5.2692e+07	3.28818e+07	3.1733e+07	8.05697e+06	3.26858e+06	1.0	0.891039	0.944959	0.987465	0.627537	0.137653	0.0859208	0.0828623	0.0207707	0.00835193	0.0	0.0689768	0.069129	0.07305	0.0807183	0.140809	0.103528	0.0865095	0.0298371	0.014839
10	Q92597	Protein NDRG1 OS=Homo sapiens GN=NDRG1 PE=1 SV=1	NDRG1	46243.0	6.48296	0.0	86	269	13	6	3	9	6	126	1.99695e+07	1.95814e+07	2.02435e+07	2.06279e+07	1.76635e+07	1.15633e+07	6.20986e+06	5.52427e+06	1.41154e+06	208936.0	1.0	0.980498	1.01537	1.02849	0.885072	0.579046	0.30957	0.276901	0.0694864	0.0102996	0.0	0.212856	0.107026	0.210426	0.28346	0.21764	0.142336	0.143638	0.138473	0.0221479
