protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	P23919	Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4	DTYMK	27642.1	7.34308	0.0	77	367	20	7	9	11	7	126	1.36429e+08	2.20013e+08	2.33908e+08	2.02185e+08	2.28852e+08	2.22511e+08	1.46538e+08	4.17531e+06	4.77532e+06	0.0	1.0	1.61991	1.71391	1.48552	1.67695	1.62845	1.07	0.0308185	0.0345411	0.0	0.0	0.329283	0.316896	0.28232	0.191727	0.148425	0.297602	0.0240961	0.094059	0.0
2	E7ET07|Q9NXR8	Inhibitor of growth protein OS=Homo sapiens GN=ING3 PE=1 SV=1|Inhibitor of growth protein 3 OS=Homo sapiens GN=ING3 PE=1 SV=2	ING3	51532.9|53413.8	NA	0.0109299	25	25	1	1	0	1	1	126	5.47257e+06	7.10661e+06	6.51166e+06	6.98565e+06	7.61506e+06	8.54131e+06	5.76814e+06	251271.0	163003.0	0.0	1.0	1.29859	1.18987	1.27648	1.39149	1.56075	1.05401	0.0459145	0.0297854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	Q9C0H2	Protein tweety homolog 3 OS=Homo sapiens GN=TTYH3 PE=1 SV=3	TTYH3	60310.6	5.35772	0.011692	24	46	2	1	1	1	1	126	1.1933e+06	2.08529e+06	1.55799e+06	1.52173e+06	1.51121e+06	1.7785e+06	1.25681e+06	0.0	0.0	0.0	1.0	1.7475	1.30561	1.27523	1.26641	1.4904	1.05322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	Q07960	Rho GTPase-activating protein 1 OS=Homo sapiens GN=ARHGAP1 PE=1 SV=1	ARHGAP1	57336.1	7.41727	0.0	70	453	22	9	5	17	8	126	2.63413e+08	4.43215e+08	4.09025e+08	4.2633e+08	3.93209e+08	4.03168e+08	2.09533e+08	2.82199e+06	5.40248e+06	0.0	1.0	1.67289	1.54967	1.6127	1.49616	1.5352	0.800048	0.0105519	0.020483	0.0	0.0	0.282432	0.195864	0.2172	0.187199	0.170024	0.175774	0.0154263	0.0205131	0.0
5	Q9NXR7	BRCA1-A complex subunit BRE OS=Homo sapiens GN=BRE PE=1 SV=2	BRE	48334.1	6.69463	0.0	53	194	9	5	5	4	4	126	6.01878e+07	9.12153e+07	1.05898e+08	8.71388e+07	9.64705e+07	1.10331e+08	6.73232e+07	1.0287e+06	2.0606e+06	0.0	1.0	1.51551	1.75947	1.44778	1.60282	1.83311	1.11855	0.0170915	0.0342361	0.0	0.0	0.780367	0.779294	0.622867	0.40358	0.196647	0.365458	0.0356358	0.0363472	0.0
6	P40429	60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2	RPL13A	30036.0	8.15707	0.0	73	480	49	11	8	39	10	126	5.7165e+08	1.02364e+09	8.42684e+08	7.37429e+08	9.26543e+08	9.58839e+08	5.1648e+08	1.16166e+07	1.588e+07	0.0	1.0	1.7901	1.47418	1.28996	1.62222	1.67762	0.902399	0.020212	0.0277143	0.0	0.0	0.122416	0.063133	0.0659454	0.103325	0.11727	0.0936531	0.0141729	0.015368	0.0
7	P08842	Steryl-sulfatase OS=Homo sapiens GN=STS PE=1 SV=2	STS	71805.3	6.12155	0.00134589	38	108	5	4	3	2	2	126	3.96753e+07	6.21652e+07	5.55239e+07	5.20091e+07	5.2449e+07	5.31538e+07	3.51974e+07	1.2318e+06	964929.0	0.0	1.0	1.56685	1.39946	1.31087	1.32195	1.33972	0.887135	0.0310469	0.0243206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	A0A0C4DGB6|H0YA55|P02768	Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=1|Serum albumin (Fragment) OS=Homo sapiens GN=ALB PE=1 SV=1|Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2	ALB	84697.7|64305.4|85067.0	7.25649	0.0	73	196	8	4	6	2	2	126	4.88559e+07	6.81245e+07	6.18566e+07	6.83691e+07	1.33099e+08	1.6583e+08	7.02228e+07	2.50495e+06	2.64951e+06	21658.1	1.0	1.3944	1.2661	1.3994	2.72433	3.39427	1.43735	0.0512723	0.0542311	0.000443305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	P05387	60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1	RPLP2	13949.5	7.16567	0.0	66	91	4	2	1	3	2	126	4.42242e+07	5.33638e+07	4.424e+07	5.37727e+07	4.43979e+07	5.91919e+07	3.92065e+07	1.16573e+06	1.21826e+06	0.0	1.0	1.20666	1.00036	1.21591	1.00393	1.33845	0.886541	0.0263597	0.0275473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	F8VWS0|P05388	60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1|60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1	RPLP0	34503.6|38777.0	8.13544	0.0	103	845	46	18	11	35	16	126	5.94744e+08	1.00471e+09	9.06853e+08	8.365e+08	9.67089e+08	9.28321e+08	4.54211e+08	1.27433e+07	1.28747e+07	0.0	1.0	1.68352	1.51978	1.4002	1.62784	1.56152	0.76393	0.0214344	0.0214909	0.0	0.0	0.224594	0.185591	0.24817	0.157796	0.120914	0.0803868	0.0153955	0.0150878	0.0
11	P02765	Alpha-2-HS-glycoprotein OS=Homo sapiens GN=AHSG PE=1 SV=1	AHSG	43764.6	6.69215	0.0	54	54	1	1	0	1	1	126	1.47484e+07	2.14957e+07	1.52374e+07	1.87834e+07	2.35976e+07	3.15515e+07	2.23851e+07	848382.0	1.12249e+06	0.0	1.0	1.4575	1.03316	1.27359	1.60002	2.13932	1.5178	0.0575238	0.0761094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	P39023	60S ribosomal protein L3 OS=Homo sapiens GN=RPL3 PE=1 SV=2	RPL3	59198.0	8.43189	0.0	91	725	63	15	27	36	14	126	6.50866e+08	9.86488e+08	8.06383e+08	7.6355e+08	9.72649e+08	9.41028e+08	4.52259e+08	1.41457e+07	1.53904e+07	0.0	1.0	1.51551	1.2392	1.1727	1.49522	1.44767	0.694298	0.0216431	0.023662	0.0	0.0	0.0652517	0.0985577	0.0746993	0.097927	0.168103	0.127332	0.0150057	0.0180508	0.0
13	Q9P215	Pogo transposable element with KRAB domain OS=Homo sapiens GN=POGK PE=1 SV=2	POGK	77131.7	5.43245	0.0110095	26	26	1	1	0	1	1	126	1.18995e+06	1.61147e+06	1.84689e+06	1.42292e+06	2.08741e+06	2.0028e+06	1.06424e+06	0.0	0.0	0.0	1.0	1.35423	1.55207	1.19578	1.75419	1.68309	0.894351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	I3L1H5|Q9BZG8	Diphthamide biosynthesis protein 1 (Fragment) OS=Homo sapiens GN=DPH1 PE=1 SV=1|Diphthamide biosynthesis protein 1 OS=Homo sapiens GN=DPH1 PE=1 SV=2	DPH1	51173.0|52552.8	6.22509	0.000788177	40	172	9	5	2	7	4	126	4.22787e+07	7.45859e+07	6.5954e+07	6.14121e+07	5.97955e+07	7.03057e+07	4.69709e+07	1.69253e+06	1.72685e+06	0.0	1.0	1.75887	1.55416	1.45224	1.41536	1.66291	1.11579	0.0398978	0.0408443	0.0	0.0	0.620007	0.481575	0.491971	0.250099	0.203244	0.286269	0.0289374	0.0624369	0.0
15	D6RC14|E7ETU7|H0Y9G6|P09001	39S ribosomal protein L3, mitochondrial (Fragment) OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial (Fragment) OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1	MRPL3	21093.8|49678.4|48460.3|45997.2	6.7753	0.000233046	51	182	11	5	3	8	4	126	1.37234e+08	2.15777e+08	2.00395e+08	2.14266e+08	2.04697e+08	2.35021e+08	1.14296e+08	4.11849e+06	4.4487e+06	0.0	1.0	1.5715	1.45994	1.56192	1.49156	1.7124	0.836547	0.0302795	0.0324805	0.0	0.0	0.149399	0.124786	0.20751	0.111941	0.298152	0.207149	0.0365614	0.0331917	0.0
16	P53701	Cytochrome c-type heme lyase OS=Homo sapiens GN=HCCS PE=1 SV=1	HCCS	35105.9	6.86491	0.0	56	201	6	5	3	3	2	126	3.5278e+07	5.40433e+07	5.67136e+07	5.46918e+07	4.71631e+07	6.00767e+07	3.87216e+07	1.82122e+06	1.76544e+06	81587.0	1.0	1.53193	1.60762	1.55031	1.3369	1.70295	1.09761	0.0516247	0.0500436	0.00231269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	Q14562	ATP-dependent RNA helicase DHX8 OS=Homo sapiens GN=DHX8 PE=1 SV=1	DHX8	160707.0	6.61504	0.0	69	823	25	16	7	18	16	126	1.86805e+08	2.8117e+08	2.65221e+08	2.67504e+08	2.9396e+08	3.09721e+08	1.77114e+08	4.63791e+06	5.07924e+06	0.0	1.0	1.50689	1.42092	1.43489	1.57405	1.6597	0.947672	0.0246722	0.0274493	0.0	0.0	0.150486	0.131512	0.134792	0.272754	0.202539	0.0594181	0.053148	0.0482213	0.0
18	Q14566	DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1	MCM6	103884.0	8.06827	0.0	96	1738	89	38	19	69	35	126	1.15001e+09	1.82412e+09	1.62442e+09	1.57354e+09	1.4506e+09	1.55825e+09	9.62249e+08	2.02507e+07	2.82248e+07	0.0	1.0	1.58417	1.41164	1.36772	1.26116	1.35536	0.836939	0.0175827	0.0244485	0.0	0.0	0.113755	0.0938238	0.100403	0.0544006	0.0759228	0.0898664	0.0107128	0.0139432	0.0
