protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	P23919	Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4	DTYMK	27642.1	7.77561	0.0	72	438	18	8	2	16	8	126	4.98627e+08	4.77147e+08	4.29656e+08	3.70679e+08	5.75618e+08	3.59495e+08	2.837e+08	5.59689e+06	9.32792e+06	0.0	1.0	0.957792	0.862666	0.744518	1.16019	0.724377	0.570432	0.0112856	0.0185999	0.0	0.0	0.0909366	0.0751718	0.101525	0.182483	0.201531	0.0548118	0.0123946	0.0220098	0.0
2	Q9C0H5	Rho GTPase-activating protein 39 OS=Homo sapiens GN=ARHGAP39 PE=1 SV=2	ARHGAP39	133923.0	NA	0.0	95	118	3	2	1	2	2	126	5.31739e+07	5.73239e+07	4.67598e+07	4.53241e+07	5.0216e+07	3.16737e+07	3.68358e+07	661148.0	940399.0	0.0	1.0	1.07805	0.879376	0.852376	0.944374	0.595663	0.692742	0.0124337	0.0176854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	A0A087X0P4|A0A0A0MTI0|H0YKH1|H0YLF5|P40424	Pre-B-cell leukemia transcription factor 1 OS=Homo sapiens GN=PBX1 PE=1 SV=1|Pre-B-cell leukemia transcription factor 1 OS=Homo sapiens GN=PBX1 PE=1 SV=1|Pre-B-cell leukemia transcription factor 1 (Fragment) OS=Homo sapiens GN=PBX1 PE=1 SV=1|Pre-B-cell leukemia transcription factor 1 OS=Homo sapiens GN=PBX1 PE=1 SV=1|Pre-B-cell leukemia transcription factor 1 OS=Homo sapiens GN=PBX1 PE=1 SV=1	PBX1	32736.2|40872.8|19857.5|40976.9|51694.3	6.19596	0.000340078	45	88	2	2	1	1	1	126	9.11049e+06	9.54161e+06	9.0904e+06	9.57658e+06	1.04661e+07	6.17067e+06	5.67263e+06	264937.0	228690.0	0.0	1.0	1.04732	0.997795	1.05116	1.14879	0.677315	0.622649	0.0290804	0.0251018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	P40429	60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2	RPL13A	30036.0	8.13425	0.0	81	520	45	11	7	32	10	126	1.24022e+09	1.24413e+09	9.18772e+08	8.2676e+08	1.64074e+09	7.09685e+08	5.96988e+08	8.49495e+06	1.89848e+07	0.0	1.0	1.00451	0.749919	0.675523	1.34309	0.577555	0.489221	0.00686041	0.0154915	0.0	0.0	0.0936741	0.27746	0.242852	0.537974	0.21355	0.171287	0.00370633	0.00760593	0.0
5	A0A0C4DGB6|H0YA55|P02768	Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=1|Serum albumin (Fragment) OS=Homo sapiens GN=ALB PE=1 SV=1|Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2	ALB	84697.7|64305.4|85067.0	7.22913	0.000203335	59	193	14	5	7	5	5	126	1.81265e+08	1.81243e+08	1.41077e+08	1.49915e+08	2.86653e+08	2.44436e+08	1.60316e+08	2.94937e+06	6.16409e+06	0.0	1.0	0.997404	0.778292	0.827048	1.59095	1.35471	0.884429	0.016271	0.0337176	0.0	0.0	0.126603	0.181277	0.191769	0.412333	0.506814	0.254304	0.0241674	0.0142936	0.0
6	P02765	Alpha-2-HS-glycoprotein OS=Homo sapiens GN=AHSG PE=1 SV=1	AHSG	43764.6	7.16375	0.000359002	50	77	2	2	0	2	2	126	8.5279e+07	9.37113e+07	5.77188e+07	7.19725e+07	1.27912e+08	1.07585e+08	7.9667e+07	1.14655e+06	2.39034e+06	0.0	1.0	1.09888	0.676823	0.843966	1.49992	1.26156	0.934192	0.0134447	0.0280297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	Q9P2J5	Leucine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=LARS PE=1 SV=2	LARS	161014.0	8.13339	0.0	139	2065	107	34	28	79	32	126	2.12524e+09	2.18831e+09	1.94644e+09	1.73489e+09	2.26535e+09	1.64914e+09	1.61343e+09	2.52785e+07	5.01499e+07	0.0	1.0	1.02984	0.915751	0.816684	1.06436	0.773757	0.758794	0.0118055	0.0236353	0.0	0.0	0.0390314	0.101237	0.0548517	0.152443	0.172364	0.0559034	0.00551727	0.00975433	0.0
8	Q9BZG1	Ras-related protein Rab-34 OS=Homo sapiens GN=RAB34 PE=1 SV=1	RAB34	33836.2	7.47361	0.0	97	622	25	13	1	22	11	126	5.51969e+08	5.75153e+08	4.60423e+08	4.6872e+08	5.46405e+08	3.26752e+08	3.68489e+08	7.59796e+06	1.27081e+07	0.0	1.0	1.04281	0.835438	0.848564	0.989523	0.595458	0.667545	0.0137541	0.0230072	0.0	0.0	0.0887547	0.117001	0.0896953	0.169511	0.186498	0.0898432	0.0130613	0.0233575	0.0
9	I3L1H5|Q9BZG8	Diphthamide biosynthesis protein 1 (Fragment) OS=Homo sapiens GN=DPH1 PE=1 SV=1|Diphthamide biosynthesis protein 1 OS=Homo sapiens GN=DPH1 PE=1 SV=2	DPH1	51173.0|52552.8	6.8575	0.000340078	45	316	12	9	1	11	9	126	2.564e+08	2.63643e+08	2.31188e+08	2.10923e+08	2.66539e+08	2.09559e+08	1.88165e+08	4.26362e+06	6.31777e+06	0.0	1.0	1.0281	0.902347	0.82201	1.03952	0.819686	0.733346	0.016756	0.0247486	0.0	0.0	0.136762	0.159103	0.0659747	0.298656	0.290857	0.0672864	0.0232984	0.037762	0.0
10	D6RC14|E7ETU7|H0Y9G6|P09001	39S ribosomal protein L3, mitochondrial (Fragment) OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial (Fragment) OS=Homo sapiens GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1	MRPL3	21093.8|49678.4|48460.3|45997.2	7.29514	0.000355114	49	179	12	5	8	4	4	126	1.96482e+08	1.93537e+08	1.58302e+08	1.55526e+08	2.09038e+08	1.3903e+08	1.43853e+08	1.43133e+06	3.0724e+06	0.0	1.0	0.985013	0.805681	0.791556	1.0639	0.707598	0.732141	0.0072848	0.0156371	0.0	0.0	0.0404	0.178115	0.217069	0.188912	0.0920016	0.119681	0.00402405	0.0299313	0.0
11	P53701	Cytochrome c-type heme lyase OS=Homo sapiens GN=HCCS PE=1 SV=1	HCCS	35105.9	7.40052	0.0	82	292	12	6	3	9	6	126	2.41125e+08	2.45165e+08	2.09136e+08	2.07945e+08	2.27198e+08	1.36347e+08	1.52466e+08	1.69609e+06	4.44906e+06	0.0	1.0	1.01324	0.871407	0.860834	0.943101	0.564294	0.632071	0.00714039	0.0186852	0.0	0.0	0.162689	0.199339	0.193129	0.343252	0.25771	0.0950595	0.0120659	0.0287726	0.0
12	A0A0C4DFX7|Q9H967	WD repeat-containing protein 76 OS=Homo sapiens GN=WDR76 PE=1 SV=1|WD repeat-containing protein 76 OS=Homo sapiens GN=WDR76 PE=1 SV=2	WDR76	71963.9|80320.4	6.22587	0.000351865	48	92	2	2	0	2	2	126	3.65121e+07	3.6262e+07	2.84303e+07	2.79546e+07	2.12943e+07	1.17863e+07	1.60227e+07	7472.42	332751.0	0.0	1.0	0.993152	0.778655	0.765626	0.583212	0.322804	0.438834	0.000204656	0.00911344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	Q14566	DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1	MCM6	103884.0	8.2279	0.0	132	2230	122	43	30	90	41	126	3.19323e+09	3.358e+09	2.80513e+09	2.61405e+09	3.18916e+09	2.17042e+09	1.84938e+09	3.17563e+07	6.21933e+07	0.0	1.0	1.05149	0.87848	0.818766	0.999303	0.678668	0.579033	0.00992276	0.0195509	0.0	0.0	0.0374705	0.0450218	0.0309052	0.0662159	0.0975378	0.0230815	0.00404445	0.00821753	0.0
14	P19075	Tetraspanin-8 OS=Homo sapiens GN=TSPAN8 PE=1 SV=1	TSPAN8	29689.9	6.77144	0.000209336	61	186	4	4	1	3	3	126	1.04298e+08	1.21045e+08	1.04576e+08	1.0172e+08	8.47809e+07	5.65416e+07	5.58541e+07	939138.0	1.70135e+06	0.0	1.0	1.16057	1.00267	0.97528	0.812872	0.542116	0.535525	0.00900437	0.0163124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	Q8WUF5	RelA-associated inhibitor OS=Homo sapiens GN=PPP1R13L PE=1 SV=4	PPP1R13L	94648.6	7.25759	0.0	103	997	34	20	6	26	18	126	7.00025e+08	6.98503e+08	6.28505e+08	5.90356e+08	6.56291e+08	4.72971e+08	4.13581e+08	8.39446e+06	1.50789e+07	234137.0	1.0	0.998248	0.899007	0.842173	0.940757	0.676267	0.59084	0.0119697	0.0216322	0.000313497	0.0	0.0391281	0.0620805	0.0484762	0.107376	0.0983298	0.026023	0.00938143	0.0182881	0.000920675
16	Q96BT7	Alkylated DNA repair protein alkB homolog 8 OS=Homo sapiens GN=ALKBH8 PE=1 SV=2	ALKBH8	86328.6	6.12208	0.00234889	36	36	1	1	0	1	1	126	1.38279e+07	1.62754e+07	1.28844e+07	1.32621e+07	1.53468e+07	1.17507e+07	1.07285e+07	435645.0	634485.0	0.0	1.0	1.177	0.931771	0.959087	1.10984	0.849781	0.775859	0.0315048	0.0458844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	Q99519	Sialidase-1 OS=Homo sapiens GN=NEU1 PE=1 SV=1	NEU1	48472.6	6.98334	0.0	62	238	8	5	2	6	5	126	1.81141e+08	1.73757e+08	1.6104e+08	1.42418e+08	2.27579e+08	1.35994e+08	7.71258e+07	1.97503e+06	3.47728e+06	0.0	1.0	0.961478	0.889247	0.786789	1.23514	0.747154	0.425272	0.0106307	0.0191966	0.0	0.0	0.162488	0.182496	0.160063	0.926834	0.259629	0.185582	0.0278855	0.0474711	0.0
18	H9KVB4|O15417	Trinucleotide repeat-containing gene 18 protein OS=Homo sapiens GN=TNRC18 PE=1 SV=1|Trinucleotide repeat-containing gene 18 protein OS=Homo sapiens GN=TNRC18 PE=1 SV=3	TNRC18	359463.0|359521.0	6.05164	0.0122182	27	117	20	2	20	0	0	126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19	B7ZL14|H0Y7W6|Q96RU3	FNBP1 protein OS=Homo sapiens GN=FNBP1 PE=1 SV=1|Formin-binding protein 1 (Fragment) OS=Homo sapiens GN=FNBP1 PE=1 SV=2|Formin-binding protein 1 OS=Homo sapiens GN=FNBP1 PE=1 SV=2	FNBP1	76805.4|78595.5|85468.3	7.31161	0.000197433	57	405	17	12	4	13	10	126	3.83191e+08	3.67229e+08	3.35795e+08	2.96275e+08	4.13727e+08	2.10655e+08	1.93613e+08	4.26065e+06	7.29551e+06	0.0	1.0	0.958826	0.878649	0.774253	1.08067	0.548648	0.506241	0.010986	0.0190136	0.0	0.0	0.0954539	0.143914	0.107087	0.179224	0.112624	0.0665963	0.0178605	0.0241138	0.0
20	Q96RU2	Ubiquitin carboxyl-terminal hydrolase 28 OS=Homo sapiens GN=USP28 PE=1 SV=1	USP28	137304.0	6.78081	0.0	95	534	17	10	11	10	7	126	1.64026e+08	1.59805e+08	1.41255e+08	1.23802e+08	1.42857e+08	1.0217e+08	9.07564e+07	1.00287e+06	2.24289e+06	0.0	1.0	0.978688	0.864809	0.75646	0.87424	0.623351	0.554725	0.00608355	0.0137187	0.0	0.0	0.191929	0.171268	0.1466	0.161527	0.082233	0.0967769	0.0139066	0.031101	0.0
21	H3BM14|H3BM74|Q9Y5A7	NEDD8 ultimate buster 1 OS=Homo sapiens GN=NUB1 PE=1 SV=1|NEDD8 ultimate buster 1 OS=Homo sapiens GN=NUB1 PE=1 SV=1|NEDD8 ultimate buster 1 OS=Homo sapiens GN=NUB1 PE=1 SV=2	NUB1	84190.3|85838.2|82693.5	6.73559	0.0	96	568	14	12	5	9	9	126	2.44145e+08	2.35905e+08	2.07352e+08	1.90812e+08	4.01601e+08	2.29453e+08	1.45562e+08	4.26668e+06	5.16506e+06	0.0	1.0	0.967304	0.850996	0.783061	1.61953	0.926323	0.59598	0.0171984	0.0208789	0.0	0.0	0.128299	0.130283	0.100971	1.21824	0.750085	0.148844	0.0353107	0.0454472	0.0
22	Q13643	Four and a half LIM domains protein 3 OS=Homo sapiens GN=FHL3 PE=1 SV=4	FHL3	35228.8	7.33394	0.00143495	38	114	6	4	3	3	3	126	1.12142e+08	1.14742e+08	1.08828e+08	9.87812e+07	1.41423e+08	8.84485e+07	8.09924e+07	206048.0	2.28151e+06	0.0	1.0	1.02319	0.97045	0.880861	1.26111	0.788721	0.722233	0.00183739	0.0203449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23	A0A087WXZ3|Q9Y5A9	YTH domain-containing family protein 2 OS=Homo sapiens GN=YTHDF2 PE=1 SV=1|YTH domain-containing family protein 2 OS=Homo sapiens GN=YTHDF2 PE=1 SV=2	YTHDF2	68916.6|70487.5	7.41299	0.0	129	400	12	5	5	7	5	126	1.93405e+08	1.95595e+08	1.79993e+08	1.69896e+08	1.87598e+08	1.45395e+08	1.37748e+08	2.11164e+06	4.63824e+06	0.0	1.0	1.01132	0.931911	0.877496	0.973143	0.753105	0.711093	0.010734	0.0242805	0.0	0.0	0.0280955	0.0799229	0.0464656	0.304594	0.164826	0.0512978	0.0181631	0.0333807	0.0
24	F5H2X7|H0Y5D5|Q5SYW2|Q9BTG3|Q9ULV3	Cip1-interacting zinc finger protein OS=Homo sapiens GN=CIZ1 PE=1 SV=2|Cip1-interacting zinc finger protein (Fragment) OS=Homo sapiens GN=CIZ1 PE=1 SV=1|Cip1-interacting zinc finger protein OS=Homo sapiens GN=CIZ1 PE=1 SV=1|CIZ1 protein OS=Homo sapiens GN=CIZ1 PE=1 SV=1|Cip1-interacting zinc finger protein OS=Homo sapiens GN=CIZ1 PE=1 SV=2	CIZ1	116253.0|101089.0|106510.0|102522.0|110004.0	6.25032	0.0100265	29	51	2	2	1	1	1	126	5.43813e+06	6.18705e+06	7.0636e+06	6.58392e+06	5.44923e+06	5.92134e+06	4.43496e+06	548099.0	479226.0	0.0	1.0	1.13772	1.2989	1.2107	1.00204	1.08886	0.815531	0.100788	0.0881232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	Q02127	Dihydroorotate dehydrogenase (quinone), mitochondrial OS=Homo sapiens GN=DHODH PE=1 SV=3	DHODH	47424.2	6.96286	0.0	85	368	12	7	5	7	7	126	1.55518e+08	1.60899e+08	1.37858e+08	1.2782e+08	1.78873e+08	1.43815e+08	1.22546e+08	2.66471e+06	4.99482e+06	0.0	1.0	1.0346	0.885858	0.821934	1.149	0.924722	0.787078	0.0171056	0.0321593	0.0	0.0	0.0789893	0.105808	0.0959985	0.109857	0.153824	0.114028	0.00835863	0.00827746	0.0
26	J3KPS2|Q6ZRV2	Protein FAM83H (Fragment) OS=Homo sapiens GN=FAM83H PE=1 SV=1|Protein FAM83H OS=Homo sapiens GN=FAM83H PE=1 SV=3	FAM83H	103780.0|136495.0	6.07437	0.000197433	57	135	4	4	1	3	3	126	3.74126e+07	3.8722e+07	3.31986e+07	3.48093e+07	5.99972e+07	3.0449e+07	2.15001e+07	522436.0	972754.0	0.0	1.0	1.035	0.887364	0.930417	1.60366	0.813872	0.574675	0.0139642	0.0260007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	H0YLN8|Q96QT4	Transient receptor potential cation channel subfamily M member 7 OS=Homo sapiens GN=TRPM7 PE=1 SV=1|Transient receptor potential cation channel subfamily M member 7 OS=Homo sapiens GN=TRPM7 PE=1 SV=1	TRPM7	244161.0|244232.0	6.17046	0.0	69	245	6	6	2	4	4	126	5.62365e+07	5.63585e+07	4.93705e+07	4.48882e+07	5.25174e+07	4.03919e+07	4.07216e+07	457392.0	1.28167e+06	0.0	1.0	1.00217	0.877909	0.798205	0.933868	0.718251	0.724113	0.00813336	0.0227908	0.0	0.0	0.0621763	0.236903	0.11063	0.487016	0.313995	0.0799273	0.0241419	0.0133024	0.0
28	E9PKS9|E9PQE8|Q9Y296	Trafficking protein particle complex subunit 4 OS=Homo sapiens GN=TRAPPC4 PE=1 SV=1|Trafficking protein particle complex subunit 4 OS=Homo sapiens GN=TRAPPC4 PE=1 SV=1|Trafficking protein particle complex subunit 4 OS=Homo sapiens GN=TRAPPC4 PE=1 SV=1	TRAPPC4	16031.8|21647.6|26959.4	6.77143	0.000362516	51	194	6	5	1	5	4	126	1.38376e+08	1.65623e+08	1.29271e+08	1.33969e+08	1.30616e+08	9.21959e+07	8.8054e+07	2.0042e+06	3.73408e+06	0.0	1.0	1.19491	0.934196	0.968446	0.943918	0.66627	0.636337	0.0143286	0.026856	0.0	0.0	0.138008	0.11329	0.0526324	0.131744	0.127001	0.116831	0.0114736	0.0131601	0.0
29	Q9Y294	Histone chaperone ASF1A OS=Homo sapiens GN=ASF1A PE=1 SV=1	ASF1A	24500.2	6.71537	0.0	68	119	3	1	2	1	1	126	5.74811e+06	5.99327e+06	4.33873e+06	5.01881e+06	3.33609e+06	1.36144e+06	3.99526e+06	0.0	0.0	0.0	1.0	1.04265	0.754809	0.873124	0.580381	0.23685	0.695056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	Q9Y295	Developmentally-regulated GTP-binding protein 1 OS=Homo sapiens GN=DRG1 PE=1 SV=1	DRG1	49281.0	7.51417	0.0	107	774	27	11	7	20	11	126	6.35034e+08	6.01523e+08	5.38012e+08	4.51797e+08	6.3206e+08	4.8021e+08	3.81291e+08	5.98166e+06	1.21238e+07	0.0	1.0	0.948165	0.849399	0.712089	0.99633	0.758038	0.601327	0.00916988	0.0194188	0.0	0.0	0.0524168	0.0866845	0.0765424	0.105352	0.11126	0.0686048	0.009972	0.0206394	0.0
31	Q9Y3T9	Nucleolar complex protein 2 homolog OS=Homo sapiens GN=NOC2L PE=1 SV=4	NOC2L	95346.3	7.43902	0.0	74	547	25	12	5	20	12	126	5.91593e+08	4.90008e+08	4.87538e+08	4.47452e+08	5.16293e+08	3.09593e+08	4.06131e+08	8.69417e+06	1.37423e+07	94503.6	1.0	0.830145	0.820042	0.758325	0.871534	0.518623	0.685555	0.0146383	0.0234821	0.000154551	0.0	0.0910475	0.197708	0.13156	0.345072	0.184326	0.0885494	0.0145947	0.0191429	0.000613359
32	O75427	Leucine-rich repeat and calponin homology domain-containing protein 4 OS=Homo sapiens GN=LRCH4 PE=1 SV=2	LRCH4	77985.1	6.22072	0.000209336	61	61	1	1	0	1	1	126	7.37995e+06	7.52508e+06	6.90759e+06	6.67173e+06	6.95848e+06	4.88395e+06	4.37345e+06	292441.0	121937.0	0.0	1.0	1.01967	0.935994	0.904034	0.942889	0.661786	0.592612	0.0396264	0.0165227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33	Q99614	Tetratricopeptide repeat protein 1 OS=Homo sapiens GN=TTC1 PE=1 SV=1	TTC1	39919.6	6.40668	0.0	64	249	8	6	4	4	4	126	5.09697e+07	4.71311e+07	4.45808e+07	3.91957e+07	5.47155e+07	3.87228e+07	3.32434e+07	936462.0	835131.0	0.0	1.0	0.924689	0.874652	0.769	1.07349	0.759722	0.652219	0.0183729	0.0163848	0.0	0.0	0.222748	0.138356	0.100194	0.370876	0.23728	0.148673	0.0275086	0.0145434	0.0
34	O00506	Serine/threonine-protein kinase 25 OS=Homo sapiens GN=STK25 PE=1 SV=1	STK25	56330.6	6.28628	0.0	117	391	7	1	6	1	1	126	2.40878e+07	2.59371e+07	2.10048e+07	2.02542e+07	2.19908e+07	1.45344e+07	1.42926e+07	166186.0	264221.0	0.0	1.0	1.07677	0.872009	0.840846	0.912942	0.60339	0.593352	0.00689918	0.0109691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
