protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	Q5MIZ7	Serine/threonine-protein phosphatase 4 regulatory subunit 3B OS=Homo sapiens GN=PPP4R3B PE=1 SV=2	PPP4R3B	111028.0	6.15568	0.0	70	172	5	1	5	0	0	126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	P30613	Pyruvate kinase PKLR OS=Homo sapiens GN=PKLR PE=1 SV=2	PKLR	66773.9	6.76955	0.0	64	148	55	1	55	0	0	126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	P23919	Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4	DTYMK	27642.1	7.83122	0.0	64	418	15	11	1	14	11	126	3.37479e+08	2.8955e+08	2.93297e+08	3.19867e+08	3.04691e+08	3.45742e+08	4.00937e+08	2.29469e+08	1.21511e+08	1.82991e+07	1.0	0.856873	0.866113	0.947318	0.901372	1.02601	1.18811	0.67952	0.359128	0.0532327	0.0	0.108764	0.110016	0.13342	0.204718	0.282292	0.355287	0.231317	0.133524	0.0391503
4	Q9C0H2	Protein tweety homolog 3 OS=Homo sapiens GN=TTYH3 PE=1 SV=3	TTYH3	60310.6	6.53284	0.0	114	241	5	3	0	5	3	126	5.36172e+07	4.71993e+07	4.53482e+07	4.79797e+07	4.70551e+07	5.51785e+07	5.42642e+07	2.65522e+07	1.99567e+07	7.74762e+06	1.0	0.880301	0.845835	0.894459	0.877611	1.03031	1.01207	0.495217	0.372207	0.143904	0.0	0.0509627	0.0933628	0.0757343	0.0779107	0.0885633	0.409867	0.293446	0.249829	0.143517
5	A0A087WVV7|A0A087X165|Q9C0H9	SRC kinase-signaling inhibitor 1 (Fragment) OS=Homo sapiens GN=SRCIN1 PE=1 SV=1|SRC kinase-signaling inhibitor 1 OS=Homo sapiens GN=SRCIN1 PE=1 SV=1|SRC kinase signaling inhibitor 1 OS=Homo sapiens GN=SRCIN1 PE=1 SV=3	SRCIN1	111988.0|145563.0|126191.0	5.98919	0.00745763	27	48	6	1	4	2	1	126	7.28594e+06	5.88834e+06	7.01654e+06	5.7685e+06	7.03993e+06	6.34432e+06	7.35655e+06	3.71249e+06	4.10998e+06	1.47034e+06	1.0	0.808179	0.963025	0.791731	0.966236	0.870763	1.00969	0.509543	0.564098	0.201805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	Q07960	Rho GTPase-activating protein 1 OS=Homo sapiens GN=ARHGAP1 PE=1 SV=1	ARHGAP1	57336.1	7.62534	0.0	91	550	23	11	3	20	11	126	4.23503e+08	3.49749e+08	3.53821e+08	3.6084e+08	3.17843e+08	1.86471e+08	1.14164e+08	4.96202e+07	4.00441e+07	1.108e+07	1.0	0.826411	0.836149	0.852479	0.753062	0.442519	0.271369	0.11742	0.0950396	0.026233	0.0	0.050045	0.0861673	0.0848413	0.176855	0.140828	0.14764	0.0751948	0.067287	0.0315864
7	Q9NXR7	BRCA1-A complex subunit BRE OS=Homo sapiens GN=BRE PE=1 SV=2	BRE	48334.1	7.38183	0.0	60	267	9	6	0	9	6	126	1.80423e+08	1.4928e+08	1.4574e+08	1.57572e+08	1.66278e+08	1.89255e+08	2.0721e+08	1.24347e+08	8.7174e+07	1.19665e+07	1.0	0.826493	0.807082	0.873575	0.921144	1.04849	1.1519	0.688985	0.48466	0.0669943	0.0	0.0532025	0.103429	0.0851076	0.138059	0.21081	0.311831	0.215946	0.14383	0.0674412
8	P40429	60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2	RPL13A	30036.0	8.00181	0.0	69	512	23	12	2	19	10	126	4.00308e+08	3.52329e+08	3.5043e+08	4.89128e+08	5.68644e+08	6.05626e+08	5.61038e+08	1.56019e+08	5.77941e+07	1.45202e+07	1.0	0.880302	0.875574	1.2224	1.41959	1.51504	1.40141	0.389262	0.144066	0.0362601	0.0	0.0480823	0.0655574	0.161288	0.206756	0.301296	0.183995	0.0559735	0.046838	0.0270678
9	P05386	60S acidic ribosomal protein P1 OS=Homo sapiens GN=RPLP1 PE=1 SV=1	RPLP1	13224.9	6.43329	0.0	136	263	7	4	1	6	3	126	1.22448e+08	1.05992e+08	1.03878e+08	8.98087e+07	1.15127e+08	8.13664e+07	1.24658e+08	8.40547e+07	3.27402e+07	2.91189e+07	1.0	0.865955	0.846719	0.733017	0.940215	0.657815	1.0155	0.684272	0.266659	0.236213	0.0	0.0586632	0.162781	0.110433	0.242021	0.315555	0.417901	0.318124	0.113052	0.128791
10	P05387	60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1	RPLP2	13949.5	7.74756	0.0	101	329	13	5	1	12	4	126	1.76381e+08	1.69811e+08	1.65722e+08	1.43847e+08	1.33183e+08	1.31135e+08	1.596e+08	1.33127e+08	6.57353e+07	1.66327e+08	1.0	0.963314	0.939459	0.815436	0.753654	0.737738	0.909237	0.761834	0.371982	0.951415	0.0	0.0978787	0.102982	0.129904	0.166853	0.216389	0.214623	0.263867	0.144523	0.523899
